Organism,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Mesorhizobium_loti,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Yersinia_pestis
Bordetella_bronchiseptica,0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Bordetella_parapertussis,3.0,0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Bordetella_pertussis,3.0,3.0,0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Caulobacter_crescentus,2.5,2.5,2.5,0,3.0,1.0,2.5,2.5,2.5,2.5,2.5,1.0,2.0,2.5,2.5,2.5,2.5,1.0
Chromobacterium_violaceum,3.5,3.5,3.5,3.0,0,2.0,3.5,3.5,3.5,3.5,3.5,2.0,3.0,3.5,3.5,3.5,3.5,2.0
Escherichia_coli,1.5,1.5,1.5,1.0,2.0,0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.5,1.5,1.5,0.0
Mesorhizobium_loti,3.0,3.0,3.0,2.5,3.5,1.5,0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Pseudomonas_aeruginosa,3.0,3.0,3.0,2.5,3.5,1.5,3.0,0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Pseudomonas_putida,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Pseudomonas_syringae,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,0,3.0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Ralstonia_solanacearum,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,0,1.5,2.5,3.0,3.0,3.0,3.0,1.5
Salmonella_enterica,1.5,1.5,1.5,1.0,2.0,0.0,1.5,1.5,1.5,1.5,1.5,0,1.0,1.5,1.5,1.5,1.5,0.0
Shewanella_oneidensis,2.5,2.5,2.5,2.0,3.0,1.0,2.5,2.5,2.5,2.5,2.5,1.0,0,2.5,2.5,2.5,2.5,1.0
Shigella_flexneri,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,0,3.0,3.0,3.0,1.5
Vibrio_cholerae,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,0,3.0,3.0,1.5
Vibrio_parahaemolyticus,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,0,3.0,1.5
Vibrio_vulnificus,3.0,3.0,3.0,2.5,3.5,1.5,3.0,3.0,3.0,3.0,3.0,1.5,2.5,3.0,3.0,3.0,0,1.5
Yersinia_pestis,1.5,1.5,1.5,1.0,2.0,0.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.5,1.5,1.5,0
