Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Xanthomonas_axonopodis,Xanthomonas_campestris
Agrobacterium_tumefaciens,0,5.0,5.0,5.0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Bordetella_bronchiseptica,5.0,0,5.0,5.0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Bordetella_parapertussis,5.0,5.0,0,5.0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Bordetella_pertussis,5.0,5.0,5.0,0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Bradyrhizobium_japonicum,4.5,4.5,4.5,4.5,0,4.5,5.0,5.0,6.0,2.0,6.0,4.0,4.0,4.0,4.5,4.5,6.5,7.0,2.0,4.5,2.0,4.5,6.0,4.5
Brucella_melitensis,5.0,5.0,5.0,5.0,4.5,0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Brucella_suis,5.5,5.5,5.5,5.5,5.0,5.5,0,6.0,7.0,3.0,7.0,5.0,5.0,5.0,5.5,5.5,7.5,8.0,3.0,5.5,3.0,5.5,7.0,5.5
Caulobacter_crescentus,5.5,5.5,5.5,5.5,5.0,5.5,6.0,0,7.0,3.0,7.0,5.0,5.0,5.0,5.5,5.5,7.5,8.0,3.0,5.5,3.0,5.5,7.0,5.5
Chromobacterium_violaceum,6.5,6.5,6.5,6.5,6.0,6.5,7.0,7.0,0,4.0,8.0,6.0,6.0,6.0,6.5,6.5,8.5,9.0,4.0,6.5,4.0,6.5,8.0,6.5
Escherichia_coli,2.5,2.5,2.5,2.5,2.0,2.5,3.0,3.0,4.0,0,4.0,2.0,2.0,2.0,2.5,2.5,4.5,5.0,0.0,2.5,0.0,2.5,4.0,2.5
Helicobacter_hepaticus,6.5,6.5,6.5,6.5,6.0,6.5,7.0,7.0,8.0,4.0,0,6.0,6.0,6.0,6.5,6.5,8.5,9.0,4.0,6.5,4.0,6.5,8.0,6.5
Mesorhizobium_loti,4.5,4.5,4.5,4.5,4.0,4.5,5.0,5.0,6.0,2.0,6.0,0,4.0,4.0,4.5,4.5,6.5,7.0,2.0,4.5,2.0,4.5,6.0,4.5
Neisseria_meningitidis,4.5,4.5,4.5,4.5,4.0,4.5,5.0,5.0,6.0,2.0,6.0,4.0,0,4.0,4.5,4.5,6.5,7.0,2.0,4.5,2.0,4.5,6.0,4.5
Nitrosomonas_europaea,4.5,4.5,4.5,4.5,4.0,4.5,5.0,5.0,6.0,2.0,6.0,4.0,4.0,0,4.5,4.5,6.5,7.0,2.0,4.5,2.0,4.5,6.0,4.5
Pseudomonas_aeruginosa,5.0,5.0,5.0,5.0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,0,5.0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Pseudomonas_putida,5.0,5.0,5.0,5.0,4.5,5.0,5.5,5.5,6.5,2.5,6.5,4.5,4.5,4.5,5.0,0,7.0,7.5,2.5,5.0,2.5,5.0,6.5,5.0
Pseudomonas_syringae,7.0,7.0,7.0,7.0,6.5,7.0,7.5,7.5,8.5,4.5,8.5,6.5,6.5,6.5,7.0,7.0,0,9.5,4.5,7.0,4.5,7.0,8.5,7.0
