Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Campylobacter_jejuni,Chromobacterium_violaceum,Escherichia_coli,Helicobacter_hepaticus,Mesorhizobium_loti,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti
Agrobacterium_tumefaciens,0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,3.0,4.5,3.0,3.0,3.0,3.5,3.5,4.0,3.0
Bordetella_bronchiseptica,5.5,0,8.0,7.0,7.5,6.0,6.5,4.0,6.0,6.0,5.5,7.0,5.5,5.5,5.5,6.0,6.0,6.5,5.5
Bordetella_parapertussis,5.5,8.0,0,7.0,7.5,6.0,6.5,4.0,6.0,6.0,5.5,7.0,5.5,5.5,5.5,6.0,6.0,6.5,5.5
Bordetella_pertussis,4.5,7.0,7.0,0,6.5,5.0,5.5,3.0,5.0,5.0,4.5,6.0,4.5,4.5,4.5,5.0,5.0,5.5,4.5
Bradyrhizobium_japonicum,5.0,7.5,7.5,6.5,0,5.5,6.0,3.5,5.5,5.5,5.0,6.5,5.0,5.0,5.0,5.5,5.5,6.0,5.0
Campylobacter_jejuni,3.5,6.0,6.0,5.0,5.5,0,4.5,2.0,4.0,4.0,3.5,5.0,3.5,3.5,3.5,4.0,4.0,4.5,3.5
Chromobacterium_violaceum,4.0,6.5,6.5,5.5,6.0,4.5,0,2.5,4.5,4.5,4.0,5.5,4.0,4.0,4.0,4.5,4.5,5.0,4.0
Escherichia_coli,1.5,4.0,4.0,3.0,3.5,2.0,2.5,0,2.0,2.0,1.5,3.0,1.5,1.5,1.5,2.0,2.0,2.5,1.5
Helicobacter_hepaticus,3.5,6.0,6.0,5.0,5.5,4.0,4.5,2.0,0,4.0,3.5,5.0,3.5,3.5,3.5,4.0,4.0,4.5,3.5
Mesorhizobium_loti,3.5,6.0,6.0,5.0,5.5,4.0,4.5,2.0,4.0,0,3.5,5.0,3.5,3.5,3.5,4.0,4.0,4.5,3.5
Nitrosomonas_europaea,3.0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,0,4.5,3.0,3.0,3.0,3.5,3.5,4.0,3.0
Pasteurella_multocida,4.5,7.0,7.0,6.0,6.5,5.0,5.5,3.0,5.0,5.0,4.5,0,4.5,4.5,4.5,5.0,5.0,5.5,4.5
Pseudomonas_aeruginosa,3.0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,3.0,4.5,0,3.0,3.0,3.5,3.5,4.0,3.0
Pseudomonas_putida,3.0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,3.0,4.5,3.0,0,3.0,3.5,3.5,4.0,3.0
Pseudomonas_syringae,3.0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,3.0,4.5,3.0,3.0,0,3.5,3.5,4.0,3.0
Ralstonia_solanacearum,3.5,6.0,6.0,5.0,5.5,4.0,4.5,2.0,4.0,4.0,3.5,5.0,3.5,3.5,3.5,0,4.0,4.5,3.5
Shewanella_oneidensis,3.5,6.0,6.0,5.0,5.5,4.0,4.5,2.0,4.0,4.0,3.5,5.0,3.5,3.5,3.5,4.0,0,4.5,3.5
Shigella_flexneri,4.0,6.5,6.5,5.5,6.0,4.5,5.0,2.5,4.5,4.5,4.0,5.5,4.0,4.0,4.0,4.5,4.5,0,4.0
Sinorhizobium_meliloti,3.0,5.5,5.5,4.5,5.0,3.5,4.0,1.5,3.5,3.5,3.0,4.5,3.0,3.0,3.0,3.5,3.5,4.0,0
