Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,8.5,8.5,8.5,7.5,9.5,9.5,8.0,9.5,7.5,9.0,10.0,4.5,10.0,9.5,9.0,9.0,9.0,8.5,8.5,9.5,4.5,9.0,6.5,9.5,6.5,9.0,9.0,9.0,10.0
Bordetella_bronchiseptica,8.5,0,8.0,8.0,7.0,9.0,9.0,7.5,9.0,7.0,8.5,9.5,4.0,9.5,9.0,8.5,8.5,8.5,8.0,8.0,9.0,4.0,8.5,6.0,9.0,6.0,8.5,8.5,8.5,9.5
Bordetella_parapertussis,8.5,8.0,0,8.0,7.0,9.0,9.0,7.5,9.0,7.0,8.5,9.5,4.0,9.5,9.0,8.5,8.5,8.5,8.0,8.0,9.0,4.0,8.5,6.0,9.0,6.0,8.5,8.5,8.5,9.5
Bordetella_pertussis,8.5,8.0,8.0,0,7.0,9.0,9.0,7.5,9.0,7.0,8.5,9.5,4.0,9.5,9.0,8.5,8.5,8.5,8.0,8.0,9.0,4.0,8.5,6.0,9.0,6.0,8.5,8.5,8.5,9.5
Bradyrhizobium_japonicum,7.5,7.0,7.0,7.0,0,8.0,8.0,6.5,8.0,6.0,7.5,8.5,3.0,8.5,8.0,7.5,7.5,7.5,7.0,7.0,8.0,3.0,7.5,5.0,8.0,5.0,7.5,7.5,7.5,8.5
Brucella_melitensis,9.5,9.0,9.0,9.0,8.0,0,10.0,8.5,10.0,8.0,9.5,10.5,5.0,10.5,10.0,9.5,9.5,9.5,9.0,9.0,10.0,5.0,9.5,7.0,10.0,7.0,9.5,9.5,9.5,10.5
Brucella_suis,9.5,9.0,9.0,9.0,8.0,10.0,0,8.5,10.0,8.0,9.5,10.5,5.0,10.5,10.0,9.5,9.5,9.5,9.0,9.0,10.0,5.0,9.5,7.0,10.0,7.0,9.5,9.5,9.5,10.5
Buchnera_aphidicola,8.0,7.5,7.5,7.5,6.5,8.5,8.5,0,8.5,6.5,8.0,9.0,3.5,9.0,8.5,8.0,8.0,8.0,7.5,7.5,8.5,3.5,8.0,5.5,8.5,5.5,8.0,8.0,8.0,9.0
Campylobacter_jejuni,9.5,9.0,9.0,9.0,8.0,10.0,10.0,8.5,0,8.0,9.5,10.5,5.0,10.5,10.0,9.5,9.5,9.5,9.0,9.0,10.0,5.0,9.5,7.0,10.0,7.0,9.5,9.5,9.5,10.5
Candidatus_Blochmannia,7.5,7.0,7.0,7.0,6.0,8.0,8.0,6.5,8.0,0,7.5,8.5,3.0,8.5,8.0,7.5,7.5,7.5,7.0,7.0,8.0,3.0,7.5,5.0,8.0,5.0,7.5,7.5,7.5,8.5
Caulobacter_crescentus,9.0,8.5,8.5,8.5,7.5,9.5,9.5,8.0,9.5,7.5,0,10.0,4.5,10.0,9.5,9.0,9.0,9.0,8.5,8.5,9.5,4.5,9.0,6.5,9.5,6.5,9.0,9.0,9.0,10.0
Chromobacterium_violaceum,10.0,9.5,9.5,9.5,8.5,10.5,10.5,9.0,10.5,8.5,10.0,0,5.5,11.0,10.5,10.0,10.0,10.0,9.5,9.5,10.5,5.5,10.0,7.5,10.5,7.5,10.0,10.0,10.0,11.0
Escherichia_coli,4.5,4.0,4.0,4.0,3.0,5.0,5.0,3.5,5.0,3.0,4.5,5.5,0,5.5,5.0,4.5,4.5,4.5,4.0,4.0,5.0,0.0,4.5,2.0,5.0,2.0,4.5,4.5,4.5,5.5
Helicobacter_hepaticus,10.0,9.5,9.5,9.5,8.5,10.5,10.5,9.0,10.5,8.5,10.0,11.0,5.5,0,10.5,10.0,10.0,10.0,9.5,9.5,10.5,5.5,10.0,7.5,10.5,7.5,10.0,10.0,10.0,11.0
