Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,12.0,12.0,11.5,12.5,13.5,12.0,10.5,10.0,10.0,11.0,11.5,5.0,10.5,10.5,9.5,13.5,10.0,11.0,10.0,11.0,7.5,10.5,11.0,11.5,9.0,9.5,11.0,10.0,11.5
Bordetella_bronchiseptica,12.0,0,14.0,13.5,14.5,15.5,14.0,12.5,12.0,12.0,13.0,13.5,7.0,12.5,12.5,11.5,15.5,12.0,13.0,12.0,13.0,9.5,12.5,13.0,13.5,11.0,11.5,13.0,12.0,13.5
Bordetella_parapertussis,12.0,14.0,0,13.5,14.5,15.5,14.0,12.5,12.0,12.0,13.0,13.5,7.0,12.5,12.5,11.5,15.5,12.0,13.0,12.0,13.0,9.5,12.5,13.0,13.5,11.0,11.5,13.0,12.0,13.5
Bordetella_pertussis,11.5,13.5,13.5,0,14.0,15.0,13.5,12.0,11.5,11.5,12.5,13.0,6.5,12.0,12.0,11.0,15.0,11.5,12.5,11.5,12.5,9.0,12.0,12.5,13.0,10.5,11.0,12.5,11.5,13.0
Bradyrhizobium_japonicum,12.5,14.5,14.5,14.0,0,16.0,14.5,13.0,12.5,12.5,13.5,14.0,7.5,13.0,13.0,12.0,16.0,12.5,13.5,12.5,13.5,10.0,13.0,13.5,14.0,11.5,12.0,13.5,12.5,14.0
Brucella_melitensis,13.5,15.5,15.5,15.0,16.0,0,15.5,14.0,13.5,13.5,14.5,15.0,8.5,14.0,14.0,13.0,17.0,13.5,14.5,13.5,14.5,11.0,14.0,14.5,15.0,12.5,13.0,14.5,13.5,15.0
Brucella_suis,12.0,14.0,14.0,13.5,14.5,15.5,0,12.5,12.0,12.0,13.0,13.5,7.0,12.5,12.5,11.5,15.5,12.0,13.0,12.0,13.0,9.5,12.5,13.0,13.5,11.0,11.5,13.0,12.0,13.5
Buchnera_aphidicola,10.5,12.5,12.5,12.0,13.0,14.0,12.5,0,10.5,10.5,11.5,12.0,5.5,11.0,11.0,10.0,14.0,10.5,11.5,10.5,11.5,8.0,11.0,11.5,12.0,9.5,10.0,11.5,10.5,12.0
Campylobacter_jejuni,10.0,12.0,12.0,11.5,12.5,13.5,12.0,10.5,0,10.0,11.0,11.5,5.0,10.5,10.5,9.5,13.5,10.0,11.0,10.0,11.0,7.5,10.5,11.0,11.5,9.0,9.5,11.0,10.0,11.5
Candidatus_Blochmannia,10.0,12.0,12.0,11.5,12.5,13.5,12.0,10.5,10.0,0,11.0,11.5,5.0,10.5,10.5,9.5,13.5,10.0,11.0,10.0,11.0,7.5,10.5,11.0,11.5,9.0,9.5,11.0,10.0,11.5
Caulobacter_crescentus,11.0,13.0,13.0,12.5,13.5,14.5,13.0,11.5,11.0,11.0,0,12.5,6.0,11.5,11.5,10.5,14.5,11.0,12.0,11.0,12.0,8.5,11.5,12.0,12.5,10.0,10.5,12.0,11.0,12.5
Chromobacterium_violaceum,11.5,13.5,13.5,13.0,14.0,15.0,13.5,12.0,11.5,11.5,12.5,0,6.5,12.0,12.0,11.0,15.0,11.5,12.5,11.5,12.5,9.0,12.0,12.5,13.0,10.5,11.0,12.5,11.5,13.0
Escherichia_coli,5.0,7.0,7.0,6.5,7.5,8.5,7.0,5.5,5.0,5.0,6.0,6.5,0,5.5,5.5,4.5,8.5,5.0,6.0,5.0,6.0,2.5,5.5,6.0,6.5,4.0,4.5,6.0,5.0,6.5
Helicobacter_hepaticus,10.5,12.5,12.5,12.0,13.0,14.0,12.5,11.0,10.5,10.5,11.5,12.0,5.5,0,11.0,10.0,14.0,10.5,11.5,10.5,11.5,8.0,11.0,11.5,12.0,9.5,10.0,11.5,10.5,12.0
Mesorhizobium_loti,10.5,12.5,12.5,12.0,13.0,14.0,12.5,11.0,10.5,10.5,11.5,12.0,5.5,11.0,0,10.0,14.0,10.5,11.5,10.5,11.5,8.0,11.0,11.5,12.0,9.5,10.0,11.5,10.5,12.0
Neisseria_meningitidis,9.5,11.5,11.5,11.0,12.0,13.0,11.5,10.0,9.5,9.5,10.5,11.0,4.5,10.0,10.0,0,13.0,9.5,10.5,9.5,10.5,7.0,10.0,10.5,11.0,8.5,9.0,10.5,9.5,11.0
Nitrosomonas_europaea,13.5,15.5,15.5,15.0,16.0,17.0,15.5,14.0,13.5,13.5,14.5,15.0,8.5,14.0,14.0,13.0,0,13.5,14.5,13.5,14.5,11.0,14.0,14.5,15.0,12.5,13.0,14.5,13.5,15.0
Pseudomonas_aeruginosa,10.0,12.0,12.0,11.5,12.5,13.5,12.0,10.5,10.0,10.0,11.0,11.5,5.0,10.5,10.5,9.5,13.5,0,11.0,10.0,11.0,7.5,10.5,11.0,11.5,9.0,9.5,11.0,10.0,11.5
Pseudomonas_putida,11.0,13.0,13.0,12.5,13.5,14.5,13.0,11.5,11.0,11.0,12.0,12.5,6.0,11.5,11.5,10.5,14.5,11.0,0,11.0,12.0,8.5,11.5,12.0,12.5,10.0,10.5,12.0,11.0,12.5
Pseudomonas_syringae,10.0,12.0,12.0,11.5,12.5,13.5,12.0,10.5,10.0,10.0,11.0,11.5,5.0,10.5,10.5,9.5,13.5,10.0,11.0,0,11.0,7.5,10.5,11.0,11.5,9.0,9.5,11.0,10.0,11.5
Ralstonia_solanacearum,11.0,13.0,13.0,12.5,13.5,14.5,13.0,11.5,11.0,11.0,12.0,12.5,6.0,11.5,11.5,10.5,14.5,11.0,12.0,11.0,0,8.5,11.5,12.0,12.5,10.0,10.5,12.0,11.0,12.5
Salmonella_enterica,7.5,9.5,9.5,9.0,10.0,11.0,9.5,8.0,7.5,7.5,8.5,9.0,2.5,8.0,8.0,7.0,11.0,7.5,8.5,7.5,8.5,0,8.0,8.5,9.0,6.5,7.0,8.5,7.5,9.0
Shewanella_oneidensis,10.5,12.5,12.5,12.0,13.0,14.0,12.5,11.0,10.5,10.5,11.5,12.0,5.5,11.0,11.0,10.0,14.0,10.5,11.5,10.5,11.5,8.0,0,11.5,12.0,9.5,10.0,11.5,10.5,12.0
Shigella_flexneri,11.0,13.0,13.0,12.5,13.5,14.5,13.0,11.5,11.0,11.0,12.0,12.5,6.0,11.5,11.5,10.5,14.5,11.0,12.0,11.0,12.0,8.5,11.5,0,12.5,10.0,10.5,12.0,11.0,12.5
