Organism,Bordetella_bronchiseptica,Bradyrhizobium_japonicum,Campylobacter_jejuni,Escherichia_coli,Helicobacter_hepaticus,Pseudomonas_syringae,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Wolinella_succinogenes
Bordetella_bronchiseptica,0,4.5,5.0,3.0,6.0,7.0,3.0,4.0,3.0,5.0
Bradyrhizobium_japonicum,4.5,0,3.5,1.5,4.5,5.5,1.5,2.5,1.5,3.5
Campylobacter_jejuni,5.0,3.5,0,2.0,5.0,6.0,2.0,3.0,2.0,4.0
Escherichia_coli,3.0,1.5,2.0,0,3.0,4.0,0.0,1.0,0.0,2.0
Helicobacter_hepaticus,6.0,4.5,5.0,3.0,0,7.0,3.0,4.0,3.0,5.0
Pseudomonas_syringae,7.0,5.5,6.0,4.0,7.0,0,4.0,5.0,4.0,6.0
Salmonella_enterica,3.0,1.5,2.0,0.0,3.0,4.0,0,1.0,0.0,2.0
Shewanella_oneidensis,4.0,2.5,3.0,1.0,4.0,5.0,1.0,0,1.0,3.0
Shigella_flexneri,3.0,1.5,2.0,0.0,3.0,4.0,0.0,1.0,0,2.0
Wolinella_succinogenes,5.0,3.5,4.0,2.0,5.0,6.0,2.0,3.0,2.0,0
