Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Buchnera_aphidicola,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Bordetella_bronchiseptica,4.0,0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Bordetella_parapertussis,4.5,4.5,0,4.5,6.0,4.5,4.0,5.5,4.0,3.5,4.5,4.0,4.0,4.5,4.0,3.5,4.0,3.5,4.0,4.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.5,6.0,4.5
Bordetella_pertussis,4.0,4.0,4.5,0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Bradyrhizobium_japonicum,5.5,5.5,6.0,5.5,0,5.5,5.0,6.5,5.0,4.5,5.5,5.0,5.0,5.5,5.0,4.5,5.0,4.5,5.0,5.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,7.0,5.5
Brucella_melitensis,4.0,4.0,4.5,4.0,5.5,0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Buchnera_aphidicola,3.5,3.5,4.0,3.5,5.0,3.5,0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Caulobacter_crescentus,5.0,5.0,5.5,5.0,6.5,5.0,4.5,0,4.5,4.0,5.0,4.5,4.5,5.0,4.5,4.0,4.5,4.0,4.5,5.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,6.5,5.0
Chromobacterium_violaceum,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Escherichia_coli,3.0,3.0,3.5,3.0,4.5,3.0,2.5,4.0,2.5,0,3.0,2.5,2.5,3.0,2.5,2.0,2.5,2.0,2.5,3.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.5,3.0
Haemophilus_influenzae,4.0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Helicobacter_hepaticus,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Mesorhizobium_loti,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Nitrosomonas_europaea,4.0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Pasteurella_multocida,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Pseudomonas_aeruginosa,3.0,3.0,3.5,3.0,4.5,3.0,2.5,4.0,2.5,2.0,3.0,2.5,2.5,3.0,2.5,0,2.5,2.0,2.5,3.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.5,3.0
Pseudomonas_putida,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Pseudomonas_syringae,3.0,3.0,3.5,3.0,4.5,3.0,2.5,4.0,2.5,2.0,3.0,2.5,2.5,3.0,2.5,2.0,2.5,0,2.5,3.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.5,3.0
Ralstonia_solanacearum,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Salmonella_enterica,4.0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,4.0
Shewanella_oneidensis,3.0,3.0,3.5,3.0,4.5,3.0,2.5,4.0,2.5,2.0,3.0,2.5,2.5,3.0,2.5,2.0,2.5,2.0,2.5,3.0,0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.5,3.0
Shigella_flexneri,3.0,3.0,3.5,3.0,4.5,3.0,2.5,4.0,2.5,2.0,3.0,2.5,2.5,3.0,2.5,2.0,2.5,2.0,2.5,3.0,2.0,0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,4.5,3.0
Sinorhizobium_meliloti,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,0,3.0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Vibrio_cholerae,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,0,3.0,3.0,3.0,3.0,3.5,5.0,3.5
Vibrio_parahaemolyticus,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,0,3.0,3.0,3.0,3.5,5.0,3.5
Vibrio_vulnificus,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,0,3.0,3.0,3.5,5.0,3.5
Wolinella_succinogenes,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,0,3.0,3.5,5.0,3.5
Xanthomonas_axonopodis,3.5,3.5,4.0,3.5,5.0,3.5,3.0,4.5,3.0,2.5,3.5,3.0,3.0,3.5,3.0,2.5,3.0,2.5,3.0,3.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,0,3.5,5.0,3.5
Xanthomonas_campestris,4.0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,0,5.5,4.0
Xylella_fastidiosa,5.5,5.5,6.0,5.5,7.0,5.5,5.0,6.5,5.0,4.5,5.5,5.0,5.0,5.5,5.0,4.5,5.0,4.5,5.0,5.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,0,5.5
Yersinia_pestis,4.0,4.0,4.5,4.0,5.5,4.0,3.5,5.0,3.5,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.5,3.0,3.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,5.5,0
