Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Yersinia_pestis
Agrobacterium_tumefaciens,0,0.5,1.5,0.5,0.5,1.0,4.0,4.0,2.0,2.0,1.0,0.5,2.0,2.0,3.5,2.0,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.5,2.0,2.0,2.0,0.5,0.5
Bordetella_bronchiseptica,0.5,0,1.0,0.0,0.0,0.5,3.5,3.5,1.5,1.5,0.5,0.0,1.5,1.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0
Bordetella_parapertussis,1.5,1.0,0,1.0,1.0,1.5,4.5,4.5,2.5,2.5,1.5,1.0,2.5,2.5,4.0,2.5,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,2.5,2.5,2.5,1.0,1.0
Bordetella_pertussis,0.5,0.0,1.0,0,0.0,0.5,3.5,3.5,1.5,1.5,0.5,0.0,1.5,1.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0
Bradyrhizobium_japonicum,0.5,0.0,1.0,0.0,0,0.5,3.5,3.5,1.5,1.5,0.5,0.0,1.5,1.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0
Brucella_melitensis,1.0,0.5,1.5,0.5,0.5,0,4.0,4.0,2.0,2.0,1.0,0.5,2.0,2.0,3.5,2.0,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.5,2.0,2.0,2.0,0.5,0.5
Brucella_suis,4.0,3.5,4.5,3.5,3.5,4.0,0,7.0,5.0,5.0,4.0,3.5,5.0,5.0,6.5,5.0,3.5,3.5,3.5,3.5,3.5,5.0,3.5,3.5,5.0,5.0,5.0,3.5,3.5
Buchnera_aphidicola,4.0,3.5,4.5,3.5,3.5,4.0,7.0,0,5.0,5.0,4.0,3.5,5.0,5.0,6.5,5.0,3.5,3.5,3.5,3.5,3.5,5.0,3.5,3.5,5.0,5.0,5.0,3.5,3.5
Campylobacter_jejuni,2.0,1.5,2.5,1.5,1.5,2.0,5.0,5.0,0,3.0,2.0,1.5,3.0,3.0,4.5,3.0,1.5,1.5,1.5,1.5,1.5,3.0,1.5,1.5,3.0,3.0,3.0,1.5,1.5
Caulobacter_crescentus,2.0,1.5,2.5,1.5,1.5,2.0,5.0,5.0,3.0,0,2.0,1.5,3.0,3.0,4.5,3.0,1.5,1.5,1.5,1.5,1.5,3.0,1.5,1.5,3.0,3.0,3.0,1.5,1.5
