Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Yersinia_pestis
Agrobacterium_tumefaciens,0,8.0,6.0,7.5,5.5,6.5,7.0,7.0,7.5,6.0,6.0,3.0,6.5,7.0,6.5,3.5,6.0,5.5,6.5,5.5,4.0,7.0,4.5,6.5,6.0,7.0,7.0,7.0,7.0,4.0
Bordetella_bronchiseptica,8.0,0,8.0,9.5,7.5,8.5,9.0,9.0,9.5,8.0,8.0,5.0,8.5,9.0,8.5,5.5,8.0,7.5,8.5,7.5,6.0,9.0,6.5,8.5,8.0,9.0,9.0,9.0,9.0,6.0
Bordetella_parapertussis,6.0,8.0,0,7.5,5.5,6.5,7.0,7.0,7.5,6.0,6.0,3.0,6.5,7.0,6.5,3.5,6.0,5.5,6.5,5.5,4.0,7.0,4.5,6.5,6.0,7.0,7.0,7.0,7.0,4.0
Bordetella_pertussis,7.5,9.5,7.5,0,7.0,8.0,8.5,8.5,9.0,7.5,7.5,4.5,8.0,8.5,8.0,5.0,7.5,7.0,8.0,7.0,5.5,8.5,6.0,8.0,7.5,8.5,8.5,8.5,8.5,5.5
Bradyrhizobium_japonicum,5.5,7.5,5.5,7.0,0,6.0,6.5,6.5,7.0,5.5,5.5,2.5,6.0,6.5,6.0,3.0,5.5,5.0,6.0,5.0,3.5,6.5,4.0,6.0,5.5,6.5,6.5,6.5,6.5,3.5
Brucella_melitensis,6.5,8.5,6.5,8.0,6.0,0,7.5,7.5,8.0,6.5,6.5,3.5,7.0,7.5,7.0,4.0,6.5,6.0,7.0,6.0,4.5,7.5,5.0,7.0,6.5,7.5,7.5,7.5,7.5,4.5
Brucella_suis,7.0,9.0,7.0,8.5,6.5,7.5,0,8.0,8.5,7.0,7.0,4.0,7.5,8.0,7.5,4.5,7.0,6.5,7.5,6.5,5.0,8.0,5.5,7.5,7.0,8.0,8.0,8.0,8.0,5.0
Buchnera_aphidicola,7.0,9.0,7.0,8.5,6.5,7.5,8.0,0,8.5,7.0,7.0,4.0,7.5,8.0,7.5,4.5,7.0,6.5,7.5,6.5,5.0,8.0,5.5,7.5,7.0,8.0,8.0,8.0,8.0,5.0
Campylobacter_jejuni,7.5,9.5,7.5,9.0,7.0,8.0,8.5,8.5,0,7.5,7.5,4.5,8.0,8.5,8.0,5.0,7.5,7.0,8.0,7.0,5.5,8.5,6.0,8.0,7.5,8.5,8.5,8.5,8.5,5.5
Caulobacter_crescentus,6.0,8.0,6.0,7.5,5.5,6.5,7.0,7.0,7.5,0,6.0,3.0,6.5,7.0,6.5,3.5,6.0,5.5,6.5,5.5,4.0,7.0,4.5,6.5,6.0,7.0,7.0,7.0,7.0,4.0
