Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Mesorhizobium_loti,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Yersinia_pestis
Agrobacterium_tumefaciens,0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,10.0,10.0,9.5,10.5,11.0,10.0,10.5,10.5,10.0,10.0,9.5,9.5,10.5
Bordetella_bronchiseptica,7.5,0,5.0,6.0,4.5,8.0,7.0,2.5,8.0,7.5,6.5,7.5,7.5,7.0,8.0,8.5,7.5,8.0,8.0,7.5,7.5,7.0,7.0,8.0
Bordetella_parapertussis,7.5,5.0,0,6.0,4.5,8.0,7.0,2.5,8.0,7.5,6.5,7.5,7.5,7.0,8.0,8.5,7.5,8.0,8.0,7.5,7.5,7.0,7.0,8.0
Bordetella_pertussis,8.5,6.0,6.0,0,5.5,9.0,8.0,3.5,9.0,8.5,7.5,8.5,8.5,8.0,9.0,9.5,8.5,9.0,9.0,8.5,8.5,8.0,8.0,9.0
Bradyrhizobium_japonicum,7.0,4.5,4.5,5.5,0,7.5,6.5,2.0,7.5,7.0,6.0,7.0,7.0,6.5,7.5,8.0,7.0,7.5,7.5,7.0,7.0,6.5,6.5,7.5
Caulobacter_crescentus,10.5,8.0,8.0,9.0,7.5,0,10.0,5.5,11.0,10.5,9.5,10.5,10.5,10.0,11.0,11.5,10.5,11.0,11.0,10.5,10.5,10.0,10.0,11.0
Chromobacterium_violaceum,9.5,7.0,7.0,8.0,6.5,10.0,0,4.5,10.0,9.5,8.5,9.5,9.5,9.0,10.0,10.5,9.5,10.0,10.0,9.5,9.5,9.0,9.0,10.0
Escherichia_coli,5.0,2.5,2.5,3.5,2.0,5.5,4.5,0,5.5,5.0,4.0,5.0,5.0,4.5,5.5,6.0,5.0,5.5,5.5,5.0,5.0,4.5,4.5,5.5
Mesorhizobium_loti,10.5,8.0,8.0,9.0,7.5,11.0,10.0,5.5,0,10.5,9.5,10.5,10.5,10.0,11.0,11.5,10.5,11.0,11.0,10.5,10.5,10.0,10.0,11.0
Nitrosomonas_europaea,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,0,9.0,10.0,10.0,9.5,10.5,11.0,10.0,10.5,10.5,10.0,10.0,9.5,9.5,10.5
