Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.5,2.5,2.0,4.0,4.0,3.0,2.5,3.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.5,3.0,3.0,3.0
Bordetella_bronchiseptica,2.5,0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,1.0,0.5,2.5,2.5,1.5,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Bordetella_parapertussis,3.0,1.5,0,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Bordetella_pertussis,3.0,1.5,2.0,0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Bradyrhizobium_japonicum,3.0,1.5,2.0,2.0,0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Brucella_melitensis,3.5,2.0,2.5,2.5,2.5,0,3.0,2.5,2.5,3.0,2.0,1.5,3.5,3.5,2.5,2.0,3.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,3.5,1.5,1.5,1.5,3.0,2.5,2.5,2.5
Brucella_suis,3.5,2.0,2.5,2.5,2.5,3.0,0,2.5,2.5,3.0,2.0,1.5,3.5,3.5,2.5,2.0,3.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,3.5,1.5,1.5,1.5,3.0,2.5,2.5,2.5
Buchnera_aphidicola,3.0,1.5,2.0,2.0,2.0,2.5,2.5,0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Candidatus_Blochmannia,3.0,1.5,2.0,2.0,2.0,2.5,2.5,2.0,0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Caulobacter_crescentus,3.5,2.0,2.5,2.5,2.5,3.0,3.0,2.5,2.5,0,2.0,1.5,3.5,3.5,2.5,2.0,3.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,3.5,1.5,1.5,1.5,3.0,2.5,2.5,2.5
Chromobacterium_violaceum,2.5,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,0,0.5,2.5,2.5,1.5,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Escherichia_coli,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0
Haemophilus_influenzae,4.0,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.5,2.5,2.0,0,4.0,3.0,2.5,3.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.5,3.0,3.0,3.0
Mesorhizobium_loti,4.0,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.5,2.5,2.0,4.0,0,3.0,2.5,3.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.5,3.0,3.0,3.0
Neisseria_meningitidis,3.0,1.5,2.0,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,2.0
Nitrosomonas_europaea,2.5,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,1.0,0.5,2.5,2.5,1.5,0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Pasteurella_multocida,3.5,2.0,2.5,2.5,2.5,3.0,3.0,2.5,2.5,3.0,2.0,1.5,3.5,3.5,2.5,2.0,0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,3.5,1.5,1.5,1.5,3.0,2.5,2.5,2.5
Pseudomonas_aeruginosa,2.5,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,1.0,0.5,2.5,2.5,1.5,1.0,2.0,0,1.0,1.0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Pseudomonas_putida,2.5,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,1.0,0.5,2.5,2.5,1.5,1.0,2.0,1.0,0,1.0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Pseudomonas_syringae,2.5,1.0,1.5,1.5,1.5,2.0,2.0,1.5,1.5,2.0,1.0,0.5,2.5,2.5,1.5,1.0,2.0,1.0,1.0,0,0.5,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.0,1.5,1.5,1.5
Ralstonia_solanacearum,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0
Salmonella_enterica,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0
Shewanella_oneidensis,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0
Shigella_flexneri,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0
Sinorhizobium_meliloti,4.0,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.5,2.5,2.0,4.0,4.0,3.0,2.5,3.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,3.5,3.0,3.0,3.0
Vibrio_cholerae,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,1.5,1.0,1.0,1.0
Vibrio_parahaemolyticus,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,1.5,1.0,1.0,1.0
Vibrio_vulnificus,2.0,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,0.5,0.0,2.0,2.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1.5,1.0,1.0,1.0
Xanthomonas_axonopodis,3.5,2.0,2.5,2.5,2.5,3.0,3.0,2.5,2.5,3.0,2.0,1.5,3.5,3.5,2.5,2.0,3.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,3.5,1.5,1.5,1.5,0,2.5,2.5,2.5
Xanthomonas_campestris,3.0,1.5,2.0,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,0,2.0,2.0
Xylella_fastidiosa,3.0,1.5,2.0,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,0,2.0
Yersinia_pestis,3.0,1.5,2.0,2.0,2.0,2.5,2.5,2.0,2.0,2.5,1.5,1.0,3.0,3.0,2.0,1.5,2.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,0
