Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,3.0,3.0,3.5,5.5,5.5,5.5,2.5,5.5,3.0,5.5,2.5,2.5,3.5,4.5,5.0,3.0,2.5,5.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,4.0,5.0,4.5,3.5,4.0,2.5,2.5,2.5,2.5
Bordetella_bronchiseptica,3.0,0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Bordetella_parapertussis,3.0,1.0,0,1.5,3.5,3.5,3.5,0.5,3.5,1.0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Bordetella_pertussis,3.5,1.5,1.5,0,4.0,4.0,4.0,1.0,4.0,1.5,4.0,1.0,1.0,2.0,3.0,3.5,1.5,1.0,3.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,2.5,3.5,3.0,2.0,2.5,1.0,1.0,1.0,1.0
Bradyrhizobium_japonicum,5.5,3.5,3.5,4.0,0,6.0,6.0,3.0,6.0,3.5,6.0,3.0,3.0,4.0,5.0,5.5,3.5,3.0,5.5,3.5,3.5,3.5,3.0,3.0,3.5,3.0,4.5,5.5,5.0,4.0,4.5,3.0,3.0,3.0,3.0
Brucella_melitensis,5.5,3.5,3.5,4.0,6.0,0,6.0,3.0,6.0,3.5,6.0,3.0,3.0,4.0,5.0,5.5,3.5,3.0,5.5,3.5,3.5,3.5,3.0,3.0,3.5,3.0,4.5,5.5,5.0,4.0,4.5,3.0,3.0,3.0,3.0
Brucella_suis,5.5,3.5,3.5,4.0,6.0,6.0,0,3.0,6.0,3.5,6.0,3.0,3.0,4.0,5.0,5.5,3.5,3.0,5.5,3.5,3.5,3.5,3.0,3.0,3.5,3.0,4.5,5.5,5.0,4.0,4.5,3.0,3.0,3.0,3.0
Buchnera_aphidicola,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0,3.0,0.5,3.0,0.0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Campylobacter_jejuni,5.5,3.5,3.5,4.0,6.0,6.0,6.0,3.0,0,3.5,6.0,3.0,3.0,4.0,5.0,5.5,3.5,3.0,5.5,3.5,3.5,3.5,3.0,3.0,3.5,3.0,4.5,5.5,5.0,4.0,4.5,3.0,3.0,3.0,3.0
Candidatus_Blochmannia,3.0,1.0,1.0,1.5,3.5,3.5,3.5,0.5,3.5,0,3.5,0.5,0.5,1.5,2.5,3.0,1.0,0.5,3.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,3.0,2.5,1.5,2.0,0.5,0.5,0.5,0.5
Caulobacter_crescentus,5.5,3.5,3.5,4.0,6.0,6.0,6.0,3.0,6.0,3.5,0,3.0,3.0,4.0,5.0,5.5,3.5,3.0,5.5,3.5,3.5,3.5,3.0,3.0,3.5,3.0,4.5,5.5,5.0,4.0,4.5,3.0,3.0,3.0,3.0
Chromobacterium_violaceum,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0,0.0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
Escherichia_coli,2.5,0.5,0.5,1.0,3.0,3.0,3.0,0.0,3.0,0.5,3.0,0.0,0,1.0,2.0,2.5,0.5,0.0,2.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.5,2.5,2.0,1.0,1.5,0.0,0.0,0.0,0.0
