Organism,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Buchnera_aphidicola,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Yersinia_pestis
Bordetella_bronchiseptica,0,7.0,7.0,4.0,6.5,3.5,4.0,7.0,6.5,4.0,4.0,7.0,6.5,6.5,3.5,4.0,3.5,7.5,4.0,4.0,4.0
Bordetella_parapertussis,7.0,0,7.0,4.0,6.5,3.5,4.0,7.0,6.5,4.0,4.0,7.0,6.5,6.5,3.5,4.0,3.5,7.5,4.0,4.0,4.0
Bordetella_pertussis,7.0,7.0,0,4.0,6.5,3.5,4.0,7.0,6.5,4.0,4.0,7.0,6.5,6.5,3.5,4.0,3.5,7.5,4.0,4.0,4.0
Buchnera_aphidicola,4.0,4.0,4.0,0,3.5,0.5,1.0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,1.0,1.0
Chromobacterium_violaceum,6.5,6.5,6.5,3.5,0,3.0,3.5,6.5,6.0,3.5,3.5,6.5,6.0,6.0,3.0,3.5,3.0,7.0,3.5,3.5,3.5
Escherichia_coli,3.5,3.5,3.5,0.5,3.0,0,0.5,3.5,3.0,0.5,0.5,3.5,3.0,3.0,0.0,0.5,0.0,4.0,0.5,0.5,0.5
Haemophilus_influenzae,4.0,4.0,4.0,1.0,3.5,0.5,0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,1.0,1.0
Neisseria_meningitidis,7.0,7.0,7.0,4.0,6.5,3.5,4.0,0,6.5,4.0,4.0,7.0,6.5,6.5,3.5,4.0,3.5,7.5,4.0,4.0,4.0
Nitrosomonas_europaea,6.5,6.5,6.5,3.5,6.0,3.0,3.5,6.5,0,3.5,3.5,6.5,6.0,6.0,3.0,3.5,3.0,7.0,3.5,3.5,3.5
Pasteurella_multocida,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,1.0,1.0
Pseudomonas_aeruginosa,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,1.0,0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,1.0,1.0
Pseudomonas_putida,7.0,7.0,7.0,4.0,6.5,3.5,4.0,7.0,6.5,4.0,4.0,0,6.5,6.5,3.5,4.0,3.5,7.5,4.0,4.0,4.0
Pseudomonas_syringae,6.5,6.5,6.5,3.5,6.0,3.0,3.5,6.5,6.0,3.5,3.5,6.5,0,6.0,3.0,3.5,3.0,7.0,3.5,3.5,3.5
Ralstonia_solanacearum,6.5,6.5,6.5,3.5,6.0,3.0,3.5,6.5,6.0,3.5,3.5,6.5,6.0,0,3.0,3.5,3.0,7.0,3.5,3.5,3.5
Salmonella_enterica,3.5,3.5,3.5,0.5,3.0,0.0,0.5,3.5,3.0,0.5,0.5,3.5,3.0,3.0,0,0.5,0.0,4.0,0.5,0.5,0.5
Shewanella_oneidensis,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,0,0.5,4.5,1.0,1.0,1.0
Shigella_flexneri,3.5,3.5,3.5,0.5,3.0,0.0,0.5,3.5,3.0,0.5,0.5,3.5,3.0,3.0,0.0,0.5,0,4.0,0.5,0.5,0.5
Vibrio_cholerae,7.5,7.5,7.5,4.5,7.0,4.0,4.5,7.5,7.0,4.5,4.5,7.5,7.0,7.0,4.0,4.5,4.0,0,4.5,4.5,4.5
Vibrio_parahaemolyticus,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,0,1.0,1.0
Vibrio_vulnificus,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,0,1.0
Yersinia_pestis,4.0,4.0,4.0,1.0,3.5,0.5,1.0,4.0,3.5,1.0,1.0,4.0,3.5,3.5,0.5,1.0,0.5,4.5,1.0,1.0,0
