Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Helicobacter_hepaticus,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Salmonella_enterica,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Wolinella_succinogenes,Yersinia_pestis
Agrobacterium_tumefaciens,0,7.5,6.5,7.5,7.5,7.0,7.0,6.5,7.0,3.0,4.5,6.5,3.5,6.5,6.5,4.5,8.0,8.0,6.5,6.5,7.0,6.5,7.5
Bordetella_bronchiseptica,7.5,0,8.0,9.0,9.0,8.5,8.5,8.0,8.5,4.5,6.0,8.0,5.0,8.0,8.0,6.0,9.5,9.5,8.0,8.0,8.5,8.0,9.0
Bordetella_parapertussis,6.5,8.0,0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,7.0,7.0,5.0,8.5,8.5,7.0,7.0,7.5,7.0,8.0
Bordetella_pertussis,7.5,9.0,8.0,0,9.0,8.5,8.5,8.0,8.5,4.5,6.0,8.0,5.0,8.0,8.0,6.0,9.5,9.5,8.0,8.0,8.5,8.0,9.0
Bradyrhizobium_japonicum,7.5,9.0,8.0,9.0,0,8.5,8.5,8.0,8.5,4.5,6.0,8.0,5.0,8.0,8.0,6.0,9.5,9.5,8.0,8.0,8.5,8.0,9.0
Brucella_melitensis,7.0,8.5,7.5,8.5,8.5,0,8.0,7.5,8.0,4.0,5.5,7.5,4.5,7.5,7.5,5.5,9.0,9.0,7.5,7.5,8.0,7.5,8.5
Brucella_suis,7.0,8.5,7.5,8.5,8.5,8.0,0,7.5,8.0,4.0,5.5,7.5,4.5,7.5,7.5,5.5,9.0,9.0,7.5,7.5,8.0,7.5,8.5
Caulobacter_crescentus,6.5,8.0,7.0,8.0,8.0,7.5,7.5,0,7.5,3.5,5.0,7.0,4.0,7.0,7.0,5.0,8.5,8.5,7.0,7.0,7.5,7.0,8.0
Chromobacterium_violaceum,7.0,8.5,7.5,8.5,8.5,8.0,8.0,7.5,0,4.0,5.5,7.5,4.5,7.5,7.5,5.5,9.0,9.0,7.5,7.5,8.0,7.5,8.5
Escherichia_coli,3.0,4.5,3.5,4.5,4.5,4.0,4.0,3.5,4.0,0,1.5,3.5,0.5,3.5,3.5,1.5,5.0,5.0,3.5,3.5,4.0,3.5,4.5
Haemophilus_influenzae,4.5,6.0,5.0,6.0,6.0,5.5,5.5,5.0,5.5,1.5,0,5.0,2.0,5.0,5.0,3.0,6.5,6.5,5.0,5.0,5.5,5.0,6.0
Helicobacter_hepaticus,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,0,4.0,7.0,7.0,5.0,8.5,8.5,7.0,7.0,7.5,7.0,8.0
Pasteurella_multocida,3.5,5.0,4.0,5.0,5.0,4.5,4.5,4.0,4.5,0.5,2.0,4.0,0,4.0,4.0,2.0,5.5,5.5,4.0,4.0,4.5,4.0,5.0
Pseudomonas_aeruginosa,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,0,7.0,5.0,8.5,8.5,7.0,7.0,7.5,7.0,8.0
Pseudomonas_putida,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,7.0,0,5.0,8.5,8.5,7.0,7.0,7.5,7.0,8.0
Salmonella_enterica,4.5,6.0,5.0,6.0,6.0,5.5,5.5,5.0,5.5,1.5,3.0,5.0,2.0,5.0,5.0,0,6.5,6.5,5.0,5.0,5.5,5.0,6.0
Shigella_flexneri,8.0,9.5,8.5,9.5,9.5,9.0,9.0,8.5,9.0,5.0,6.5,8.5,5.5,8.5,8.5,6.5,0,10.0,8.5,8.5,9.0,8.5,9.5
Sinorhizobium_meliloti,8.0,9.5,8.5,9.5,9.5,9.0,9.0,8.5,9.0,5.0,6.5,8.5,5.5,8.5,8.5,6.5,10.0,0,8.5,8.5,9.0,8.5,9.5
Vibrio_cholerae,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,7.0,7.0,5.0,8.5,8.5,0,7.0,7.5,7.0,8.0
Vibrio_parahaemolyticus,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,7.0,7.0,5.0,8.5,8.5,7.0,0,7.5,7.0,8.0
Vibrio_vulnificus,7.0,8.5,7.5,8.5,8.5,8.0,8.0,7.5,8.0,4.0,5.5,7.5,4.5,7.5,7.5,5.5,9.0,9.0,7.5,7.5,0,7.5,8.5
Wolinella_succinogenes,6.5,8.0,7.0,8.0,8.0,7.5,7.5,7.0,7.5,3.5,5.0,7.0,4.0,7.0,7.0,5.0,8.5,8.5,7.0,7.0,7.5,0,8.0
Yersinia_pestis,7.5,9.0,8.0,9.0,9.0,8.5,8.5,8.0,8.5,4.5,6.0,8.0,5.0,8.0,8.0,6.0,9.5,9.5,8.0,8.0,8.5,8.0,0
