Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Haemophilus_influenzae,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pasteurella_multocida,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,6.0,6.0,5.5,8.5,8.5,8.5,7.0,5.5,9.0,8.0,4.0,6.5,8.5,9.0,6.5,5.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,8.0,4.5,4.5,4.5,5.5,5.5,5.5,4.0
Bordetella_bronchiseptica,6.0,0,4.0,3.5,6.5,6.5,6.5,5.0,3.5,7.0,6.0,2.0,4.5,6.5,7.0,4.5,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,2.5,2.5,2.5,3.5,3.5,3.5,2.0
Bordetella_parapertussis,6.0,4.0,0,3.5,6.5,6.5,6.5,5.0,3.5,7.0,6.0,2.0,4.5,6.5,7.0,4.5,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,2.5,2.5,2.5,3.5,3.5,3.5,2.0
Bordetella_pertussis,5.5,3.5,3.5,0,6.0,6.0,6.0,4.5,3.0,6.5,5.5,1.5,4.0,6.0,6.5,4.0,2.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,5.5,2.0,2.0,2.0,3.0,3.0,3.0,1.5
Bradyrhizobium_japonicum,8.5,6.5,6.5,6.0,0,9.0,9.0,7.5,6.0,9.5,8.5,4.5,7.0,9.0,9.5,7.0,5.5,4.5,4.5,4.5,7.5,4.5,4.5,4.5,8.5,5.0,5.0,5.0,6.0,6.0,6.0,4.5
Brucella_melitensis,8.5,6.5,6.5,6.0,9.0,0,9.0,7.5,6.0,9.5,8.5,4.5,7.0,9.0,9.5,7.0,5.5,4.5,4.5,4.5,7.5,4.5,4.5,4.5,8.5,5.0,5.0,5.0,6.0,6.0,6.0,4.5
Brucella_suis,8.5,6.5,6.5,6.0,9.0,9.0,0,7.5,6.0,9.5,8.5,4.5,7.0,9.0,9.5,7.0,5.5,4.5,4.5,4.5,7.5,4.5,4.5,4.5,8.5,5.0,5.0,5.0,6.0,6.0,6.0,4.5
Buchnera_aphidicola,7.0,5.0,5.0,4.5,7.5,7.5,7.5,0,4.5,8.0,7.0,3.0,5.5,7.5,8.0,5.5,4.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,7.0,3.5,3.5,3.5,4.5,4.5,4.5,3.0
Candidatus_Blochmannia,5.5,3.5,3.5,3.0,6.0,6.0,6.0,4.5,0,6.5,5.5,1.5,4.0,6.0,6.5,4.0,2.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,5.5,2.0,2.0,2.0,3.0,3.0,3.0,1.5
Caulobacter_crescentus,9.0,7.0,7.0,6.5,9.5,9.5,9.5,8.0,6.5,0,9.0,5.0,7.5,9.5,10.0,7.5,6.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,9.0,5.5,5.5,5.5,6.5,6.5,6.5,5.0
Chromobacterium_violaceum,8.0,6.0,6.0,5.5,8.5,8.5,8.5,7.0,5.5,9.0,0,4.0,6.5,8.5,9.0,6.5,5.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,8.0,4.5,4.5,4.5,5.5,5.5,5.5,4.0
Escherichia_coli,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Haemophilus_influenzae,6.5,4.5,4.5,4.0,7.0,7.0,7.0,5.5,4.0,7.5,6.5,2.5,0,7.0,7.5,5.0,3.5,2.5,2.5,2.5,5.5,2.5,2.5,2.5,6.5,3.0,3.0,3.0,4.0,4.0,4.0,2.5
Mesorhizobium_loti,8.5,6.5,6.5,6.0,9.0,9.0,9.0,7.5,6.0,9.5,8.5,4.5,7.0,0,9.5,7.0,5.5,4.5,4.5,4.5,7.5,4.5,4.5,4.5,8.5,5.0,5.0,5.0,6.0,6.0,6.0,4.5
Neisseria_meningitidis,9.0,7.0,7.0,6.5,9.5,9.5,9.5,8.0,6.5,10.0,9.0,5.0,7.5,9.5,0,7.5,6.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,9.0,5.5,5.5,5.5,6.5,6.5,6.5,5.0
Nitrosomonas_europaea,6.5,4.5,4.5,4.0,7.0,7.0,7.0,5.5,4.0,7.5,6.5,2.5,5.0,7.0,7.5,0,3.5,2.5,2.5,2.5,5.5,2.5,2.5,2.5,6.5,3.0,3.0,3.0,4.0,4.0,4.0,2.5
Pasteurella_multocida,5.0,3.0,3.0,2.5,5.5,5.5,5.5,4.0,2.5,6.0,5.0,1.0,3.5,5.5,6.0,3.5,0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.5,1.5,1.5,2.5,2.5,2.5,1.0
Pseudomonas_aeruginosa,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Pseudomonas_putida,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0,0.0,3.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Pseudomonas_syringae,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0,3.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Ralstonia_solanacearum,7.0,5.0,5.0,4.5,7.5,7.5,7.5,6.0,4.5,8.0,7.0,3.0,5.5,7.5,8.0,5.5,4.0,3.0,3.0,3.0,0,3.0,3.0,3.0,7.0,3.5,3.5,3.5,4.5,4.5,4.5,3.0
Salmonella_enterica,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0.0,3.0,0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Shewanella_oneidensis,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0.0,3.0,0.0,0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Shigella_flexneri,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0.0
Sinorhizobium_meliloti,8.0,6.0,6.0,5.5,8.5,8.5,8.5,7.0,5.5,9.0,8.0,4.0,6.5,8.5,9.0,6.5,5.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,0,4.5,4.5,4.5,5.5,5.5,5.5,4.0
Vibrio_cholerae,4.5,2.5,2.5,2.0,5.0,5.0,5.0,3.5,2.0,5.5,4.5,0.5,3.0,5.0,5.5,3.0,1.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,4.5,0,1.0,1.0,2.0,2.0,2.0,0.5
Vibrio_parahaemolyticus,4.5,2.5,2.5,2.0,5.0,5.0,5.0,3.5,2.0,5.5,4.5,0.5,3.0,5.0,5.5,3.0,1.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,4.5,1.0,0,1.0,2.0,2.0,2.0,0.5
Vibrio_vulnificus,4.5,2.5,2.5,2.0,5.0,5.0,5.0,3.5,2.0,5.5,4.5,0.5,3.0,5.0,5.5,3.0,1.5,0.5,0.5,0.5,3.5,0.5,0.5,0.5,4.5,1.0,1.0,0,2.0,2.0,2.0,0.5
Xanthomonas_axonopodis,5.5,3.5,3.5,3.0,6.0,6.0,6.0,4.5,3.0,6.5,5.5,1.5,4.0,6.0,6.5,4.0,2.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,5.5,2.0,2.0,2.0,0,3.0,3.0,1.5
Xanthomonas_campestris,5.5,3.5,3.5,3.0,6.0,6.0,6.0,4.5,3.0,6.5,5.5,1.5,4.0,6.0,6.5,4.0,2.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,5.5,2.0,2.0,2.0,3.0,0,3.0,1.5
Xylella_fastidiosa,5.5,3.5,3.5,3.0,6.0,6.0,6.0,4.5,3.0,6.5,5.5,1.5,4.0,6.0,6.5,4.0,2.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,5.5,2.0,2.0,2.0,3.0,3.0,0,1.5
Yersinia_pestis,4.0,2.0,2.0,1.5,4.5,4.5,4.5,3.0,1.5,5.0,4.0,0.0,2.5,4.5,5.0,2.5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.5,0.5,0.5,1.5,1.5,1.5,0
