Operon,Num_Orgs,Length,Total_ratio,Deletions_ratio,Total_Fusions_ratio,Splits_ratio,Duplicates_ratio,Inversions_ratio
astCADBE,19,5,-0.167,0.395,0.000,-0.610,-0.037,-0.650
atpIBEFHAGDC,36,9,-0.806,-0.098,0.000,-1.873,0.000,-1.184
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,36,8,-0.257,-0.798,-0.722,0.056,-2.532,0.233
caiTABCDE,25,6,0.508,-0.027,0.000,0.774,0.953,0.627
casABCDE12,3,7,-0.895,-0.573,0.000,-0.661,0.000,0.000
dicB-ydfDE-insD-intQ,2,5,0.321,0.344,0.000,0.255,0.828,0.502
fecABCDE,34,5,0.623,0.344,2.460,0.680,1.039,0.559
fucPIKUR,11,5,0.083,0.779,0.000,-0.351,-0.877,-0.509
gatYZABCD,4,6,-1.001,-1.330,0.000,-0.320,0.000,0.000
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,11,8,0.290,0.620,0.000,0.108,-1.347,0.273
glcDEFGBA,19,6,0.399,0.370,1.640,0.489,0.004,0.371
hcaEFCBD,15,5,0.609,0.121,0.000,0.805,1.211,0.885
hisLGDCBHAFI,35,9,-0.806,-2.267,0.000,-0.410,-0.543,-0.463
hyaABCDEF,9,6,-0.713,0.056,0.000,-1.537,-0.858,0.000
hycABCDEFGHI,31,9,0.438,0.584,-0.706,0.264,1.083,-0.880
hyfABCDEFGHIJR-focB,31,12,0.536,0.249,1.461,0.559,0.949,0.253
hypABCDE-fhlA,11,6,0.003,0.056,0.000,0.054,-0.366,0.225
ivbL-ilvBN-uhpABC,32,6,0.168,-0.232,0.000,0.414,-0.047,0.592
livKHMGF,30,5,-0.394,0.238,0.000,-1.200,0.066,-1.107
lptAB-rpoN-hpf-ptsN-yhbJ-npr,36,7,-0.122,0.099,0.000,-0.055,-2.399,-0.240
lptD-surA-pdxA-rsmA-apaGH,32,6,-0.323,-0.771,0.000,0.085,0.000,0.112
lsrACDBFG-tam,31,7,0.542,0.887,1.191,0.117,0.695,0.198
mdtABCD-baeSR,34,6,0.317,-2.777,1.281,0.718,1.031,0.622
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp,35,8,-0.277,-0.055,0.000,-0.232,-0.712,-1.220
nsrR-rnr-rlmB-yjfIJ,22,5,0.306,0.687,0.000,0.255,0.000,0.589
nuoABCEFGHIJKLMN,31,13,-1.091,-1.212,0.000,-1.483,0.267,-3.194
paaABCDEFGHIJK,25,11,0.467,0.651,1.366,0.242,-0.694,0.484
pspABCDE,9,5,-0.672,0.226,0.000,-1.249,0.000,0.000
pstSCAB-phoU,34,5,-0.412,-0.138,0.000,-1.074,0.560,-0.539
rbsDACBKR,31,6,0.266,0.360,0.457,0.171,0.470,0.287
rnc-era-recO-pdxJ-acpS,33,5,-0.267,-0.445,0.000,0.160,0.000,0.002
rplKAJL-rpoBC,36,6,-1.812,-3.528,0.308,-1.218,0.000,-1.877
sdhCDAB-sucABCD,36,8,-0.443,-0.407,0.000,-0.308,-2.532,-0.373
srlAEBD-gutM-srlR-gutQ,12,7,0.244,0.606,0.000,-0.102,0.086,0.166
ssuEADCB,33,5,0.269,0.908,0.000,-0.533,0.590,-0.222
tdcABCDEFG,16,7,0.660,-0.375,0.000,0.979,0.715,1.222
thrS-infC-rpmI-rplT-pheMST-ihfA,36,8,-0.564,-1.043,0.000,-0.193,0.000,-0.219
trpLEDCBA,35,6,-0.056,-2.401,0.000,0.150,1.151,0.230
ulaABCDEF,6,7,-0.895,-0.860,1.224,-1.354,-0.607,-0.933
waaQGP-rfaS-waaBIJY-rfaZ-waaK,14,9,0.412,1.161,0.089,-0.746,-1.013,-0.933
ybgIJKL-nei,16,5,0.061,-0.232,0.000,0.527,-1.251,0.215
yceD-rpmF-plsX-fabHDG-acpP-fabF,36,8,-0.502,-0.798,0.000,-0.308,-0.923,-0.219
ydgK-rsxABCDGE-nth,22,8,-0.151,0.366,0.000,-0.696,-0.941,-0.420
ydhYVWXUT,6,6,0.386,0.903,0.000,-0.215,-0.453,0.608
yiaKLMNO-lyxK-sgbHUE,24,9,0.342,0.636,-0.450,0.121,-0.858,0.320
yjeFE-amiB-mutL-miaA-hfq-hflXKC,33,9,-0.107,-1.292,0.000,0.268,-1.870,0.637
