NC_002678	Mesorhizobium_loti	*rimP-nusA*rpsO-pnp*truB*infB
NC_002516	Pseudomonas_aeruginosa	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_003197	Salmonella_enterica	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_004310	Brucella_suis	*rimP-nusA*truB-rpsO-pnp*infB
NC_003112	Neisseria_meningitidis	*rbfA-truB*rimP-nusA-infB*rpsO*pnp
NC_002947	Pseudomonas_putida	*pnp-rpsO*rbfA-infB-nusA-rimP
NC_005085	Chromobacterium_violaceum	*rimP-nusA-infB-rbfA-truB-rpsO-pnp
NC_003295	Ralstonia_solanacearum	*rimP-nusA-infB-rbfA-truB*pnp-rpsO
NC_012668	Vibrio_cholerae	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_004459	Vibrio_vulnificus	*rimP-nusA-infB-rbfA-truB*rpsO*pnp
NC_002163	Campylobacter_jejuni	*infB-rimP*rpsO*pnp*truB*nusA
NC_003198	Salmonella_enterica	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_003047	Sinorhizobium_meliloti	*rimP-nusA*rpsO-pnp*infBB*truB
NC_004603	Vibrio_parahaemolyticus	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_002929	Bordetella_pertussis	*rpsO-pnp*rimP-nusA-infB-rbfA-truB-infB
NC_003919	Xanthomonas_axonopodis	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_004347	Shewanella_oneidensis	*rimP-nusA-infB-rbfA*rpsO*pnp
NC_004463	Bradyrhizobium_japonicum	*pnp-rpsO-truB*nusA-rimP*infBB
NC_002928	Bordetella_parapertussis	*rimP-nusA-infB-rbfA-truB-infB*pnp-rpsO
NC_002488	Xylella_fastidiosa	*rimP-nusA-infB-rbfA-truB-rpsO-pnp
NC_002927	Bordetella_bronchiseptica	*infB-truB-rbfA-infB-nusA-rimP*pnp-rpsO
NC_011833	Buchnera_aphidicola	*pnp-rpsO-truB-rbfA-infB-nusA
NC_005061	Candidatus_Blochmannia	*nusA-infB-rbfA-truB-rpsO-pnp
NC_007086	Xanthomonas_campestris	*rimP-nusA-infB-rbfA-truB-rpsO-pnp
NC_000913	Escherichia_coli	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_004757	Nitrosomonas_europaea	*pnp-rpsO*rimP-nusA-infB-rbfA-truB
NC_003143	Yersinia_pestis	*rpsO-truB-rbfA-infB-nusA-rimP*pnp
NC_002663	Pasteurella_multocida	*truB-rbfA*infB-nusA-rimP*rpsO*pnp
NC_004578	Pseudomonas_syringae	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
NC_002696	Caulobacter_crescentus	*pnp-rpsO-truB-rbfA*nusA-rimP*infBB
NC_003062	Agrobacterium_tumefaciens	*pnp-rpsO-truB-infB*nusA-rimP
NC_005090	Wolinella_succinogenes	*infB-rimP*rpsO*pnp*truB*nusA
NC_012441	Brucella_melitensis	*rimP-nusA*truB-rpsO-pnp*infB
NC_000907	Haemophilus_influenzae	*rimP-nusA-infB*rbfA-truB*rpsO*pnp
NC_004741	Shigella_flexneri	*pnp-rpsO-truB-rbfA-infB-nusA-rimP
