NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements,Inversions
NC_002678,Mesorhizobium_loti,53.98, 0.57, 0.14,1,2,4,1,0,0,1,1
NC_002516,Pseudomonas_aeruginosa,30.34, 0.43, 0.29,1,2,3,2,0,0,1,2
NC_003197,Salmonella_enterica,1.35, 0.14, 0.86,1,0,1,6,0,0,0,0
NC_002947,Pseudomonas_putida,32.41, 0.57, 0.14,1,2,4,1,0,0,1,2
NC_005085,Chromobacterium_violaceum,41.09, 0.71, 0.29,0,0,5,2,0,0,0,3
NC_003295,Ralstonia_solanacearum,41.09, 0.29, 0.14,1,4,2,1,0,0,1,1
NC_012668,Vibrio_cholerae,41.09, 0.71, 0.29,0,0,5,2,0,0,0,2
NC_004459,Vibrio_vulnificus,16.31, 0.71, 0.29,0,0,5,2,0,0,0,1
NC_002163,Campylobacter_jejuni,75.28, 0.43, 0.29,0,2,3,2,0,0,0,2
NC_003198,Salmonella_enterica,1.35, 0.43, 0.43,1,0,3,3,0,0,0,1
NC_004603,Vibrio_parahaemolyticus,16.58, 0.71, 0.29,1,0,5,2,0,0,0,2
NC_000913,Escherichia_coli,0.00, 0.00, 1.00,1,0,0,7,0,0,0,0
NC_002663,Pasteurella_multocida,14.82, 0.71, 0.29,0,0,5,2,0,0,0,2
NC_004578,Pseudomonas_syringae,32.52, 0.71, 0.14,1,1,5,1,0,0,1,2
NC_000907,Haemophilus_influenzae,18.45, 0.71, 0.29,0,0,5,2,0,0,0,2
NC_004741,Shigella_flexneri,0.00, 0.00, 1.00,1,0,0,7,0,0,0,0
