NC_002678	Mesorhizobium_loti	*hcaDC*hcaBB*hcaE
NC_002516	Pseudomonas_aeruginosa	*hcaEF*hcaD*hcaB
NC_002947	Pseudomonas_putida	*hcaBB*hcaEF*hcaD
NC_003295	Ralstonia_solanacearum	*hcaCE*hcaB
NC_003047	Sinorhizobium_meliloti	*hcaDB*hcaCD*hcaE
NC_002929	Bordetella_pertussis	*hcaEDC*hcaEF*hcaBB
NC_003919	Xanthomonas_axonopodis	*hcaBB*hcaD*hcaE*hcaC
NC_004463	Bradyrhizobium_japonicum	*hcaBB**hcaEF*hcaD*hcaC
NC_002928	Bordetella_parapertussis	*hcaEDC*hcaBB*hcaFE
NC_002927	Bordetella_bronchiseptica	*hcaEDC*hcaEBF
NC_007086	Xanthomonas_campestris	*hcaCD*hcaB
NC_000913	Escherichia_coli	*hcaEFCBD
NC_004578	Pseudomonas_syringae	*hcaBB*hcaD*hcaE
NC_002696	Caulobacter_crescentus	*hcaDC*hcaE*hcaB
NC_004741	Shigella_flexneri	*hcaEFCB*hcaD
