NC_002678	Mesorhizobium_loti	*astCD
NC_002516	Pseudomonas_aeruginosa	*astCAADBE
NC_003197	Salmonella_enterica	*astCADBE
NC_002947	Pseudomonas_putida	*astEBDAAC
NC_005085	Chromobacterium_violaceum	*astCAADB*astE
NC_003295	Ralstonia_solanacearum	*astDC
NC_012668	Vibrio_cholerae	*astCAD*astE
NC_004459	Vibrio_vulnificus	*astCAD*astE
NC_003198	Salmonella_enterica	*astEBDAC
NC_004603	Vibrio_parahaemolyticus	*astDAC*astE
NC_002929	Bordetella_pertussis	*astDC
NC_004347	Shewanella_oneidensis	*astCAD*astB*astE
NC_002928	Bordetella_parapertussis	*astDC
NC_002927	Bordetella_bronchiseptica	*astDC
NC_000913	Escherichia_coli	*astEBDAC
NC_003143	Yersinia_pestis	*astCADBE
NC_004578	Pseudomonas_syringae	*astCAADBE
NC_002696	Caulobacter_crescentus	*astADBC
NC_004741	Shigella_flexneri	*astAD*astC*astE
