NC_002678	Mesorhizobium_loti	*rpoN-lptBA*ptsN*npr
NC_002516	Pseudomonas_aeruginosa	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_004310	Brucella_suis	*lptB-rpoN*ptsN
NC_003112	Neisseria_meningitidis	*lptAB*ptsN*rpoN*yhbJ*npr
NC_002947	Pseudomonas_putida	*npr-yhbJ-ptsN-hpf-rpoN-lptBA
NC_005085	Chromobacterium_violaceum	*lptAB-rpoN-hpf-ptsN*yhbJ*npr
NC_003295	Ralstonia_solanacearum	*ptsN-hpf-rpoN-lptBA*yhbJ*npr
NC_012668	Vibrio_cholerae	*npr-yhbJ-ptsN-hpf-rpoN-lptBA
NC_004459	Vibrio_vulnificus	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_004917	Helicobacter_hepaticus	*rpoN-lptB
NC_002163	Campylobacter_jejuni	*lptB-rpoN
NC_003198	Salmonella_enterica	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_003197	Salmonella_enterica	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_003047	Sinorhizobium_meliloti	*rpoN-lptB*ptsN*npr
NC_004603	Vibrio_parahaemolyticus	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_002929	Bordetella_pertussis	*lptBA*ptsN*rpoN*yhbJ*npr
NC_003919	Xanthomonas_axonopodis	*lptAB-rpoN-hpf-ptsN*yhbJ*npr
NC_004347	Shewanella_oneidensis	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_004463	Bradyrhizobium_japonicum	*lptB-rpoN-hpf-ptsN*npr
NC_000907	Haemophilus_influenzae	*yhbJ-ptsN-lptBA*hpf*npr
NC_002928	Bordetella_parapertussis	*lptAB-hpf-ptsN*yhbJ*rpoN*npr
NC_002488	Xylella_fastidiosa	*hpf-rpoN-lptBA*yhbJ*npr
NC_002927	Bordetella_bronchiseptica	*lptAB-hpf-ptsN*yhbJ*rpoN*npr
NC_011833	Buchnera_aphidicola	*lptBB*ptsN*npr
NC_005061	Candidatus_Blochmannia	*lptBA*npr
NC_007086	Xanthomonas_campestris	*ptsN-hpf-rpoN-lptBA*yhbJ*npr
NC_000913	Escherichia_coli	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_004757	Nitrosomonas_europaea	*ptsN-hpf-rpoN-lptBA*yhbJ*npr
NC_003143	Yersinia_pestis	*lptAB-rpoN-ptsN-yhbJ-npr*hpf
NC_002663	Pasteurella_multocida	*yhbJ-ptsN-lptBA*hpf*npr
NC_004578	Pseudomonas_syringae	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
NC_002696	Caulobacter_crescentus	*rpoN-lptB*ptsN*npr
NC_003062	Agrobacterium_tumefaciens	*ptsN-hpf-rpoN-lptBA*npr
NC_005090	Wolinella_succinogenes	*lptB-rpoN
NC_012441	Brucella_melitensis	*lptB-rpoN*ptsN
NC_004741	Shigella_flexneri	*lptAB-rpoN-hpf-ptsN-yhbJ-npr
