NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements,Inversions
NC_002516,Pseudomonas_aeruginosa,30.34, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_003197,Salmonella_enterica,1.35, 0.20, 0.80,0,0,1,4,0,0,0,1
NC_002947,Pseudomonas_putida,32.41, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_004459,Vibrio_vulnificus,16.31, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_003198,Salmonella_enterica,1.35, 0.00, 1.00,0,0,0,5,0,0,0,0
NC_003047,Sinorhizobium_meliloti,53.98, 0.40, 0.20,1,2,2,1,0,0,1,1
NC_004603,Vibrio_parahaemolyticus,16.58, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_000913,Escherichia_coli,0.00, 0.00, 1.00,0,0,0,5,0,0,0,0
NC_004578,Pseudomonas_syringae,32.52, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_000907,Haemophilus_influenzae,18.45, 0.20, 0.80,0,0,1,4,0,0,0,0
NC_004741,Shigella_flexneri,0.00, 0.40, 0.40,0,0,2,2,0,0,0,0
