NC_002678	Mesorhizobium_loti	*ssuBCDA*ssuE
NC_002516	Pseudomonas_aeruginosa	*ssuBCDAEBCA
NC_004310	Brucella_suis	*ssuCB*ssuA
NC_002947	Pseudomonas_putida	*ssuEADCB
NC_005085	Chromobacterium_violaceum	*ssuCBA
NC_003295	Ralstonia_solanacearum	*ssuEADCB
NC_012668	Vibrio_cholerae	*ssuBB
NC_004459	Vibrio_vulnificus	*ssuBB*ssuA
NC_004917	Helicobacter_hepaticus	*ssuBB*ssuD
NC_002163	Campylobacter_jejuni	*ssuCB
NC_003198	Salmonella_enterica	*ssuBB*ssuC
NC_003197	Salmonella_enterica	*ssuBC
NC_003047	Sinorhizobium_meliloti	*ssuACB
NC_004603	Vibrio_parahaemolyticus	*ssuBC
NC_002929	Bordetella_pertussis	*ssuACB
NC_003919	Xanthomonas_axonopodis	*ssuBCADE
NC_004347	Shewanella_oneidensis	*ssuBB
NC_004463	Bradyrhizobium_japonicum	*ssuBCDA
NC_000907	Haemophilus_influenzae	*ssuBC
NC_002928	Bordetella_parapertussis	*ssuACB*ssuECB
NC_002927	Bordetella_bronchiseptica	*ssuACB*ssuECB
NC_011833	Buchnera_aphidicola	*ssuBB
NC_007086	Xanthomonas_campestris	*ssuBC*ssuE
NC_000913	Escherichia_coli	*ssuBCDAE
NC_004757	Nitrosomonas_europaea	*ssuBC
NC_003143	Yersinia_pestis	*ssuEADCB
NC_002663	Pasteurella_multocida	*ssuCB*ssuA
NC_004578	Pseudomonas_syringae	*ssuDA*ssuBC*ssuE
NC_002696	Caulobacter_crescentus	*ssuBCA*ssuD
NC_003062	Agrobacterium_tumefaciens	*ssuACB*ssuD
NC_005090	Wolinella_succinogenes	*ssuBC
NC_012441	Brucella_melitensis	*ssuCB*ssuA
NC_004741	Shigella_flexneri	*ssuDAE*ssuBC
