NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements
NC_002678,Mesorhizobium_loti,53.98, 0.17, 0.50,0,1,1,3,0,0,0
NC_002516,Pseudomonas_aeruginosa,30.34, 0.00, 0.83,0,1,0,5,0,0,2
NC_004310,Brucella_suis,54.65, 0.33, 0.50,0,1,2,3,0,0,0
NC_002947,Pseudomonas_putida,32.41, 0.00, 1.00,0,0,0,6,0,0,3
NC_005085,Chromobacterium_violaceum,41.09, 0.00, 1.00,0,0,0,6,0,0,2
NC_003295,Ralstonia_solanacearum,41.09, 0.00, 0.83,0,1,0,5,0,0,2
NC_012668,Vibrio_cholerae,41.09, 0.33, 0.33,0,2,2,2,0,0,0
NC_004459,Vibrio_vulnificus,16.31, 0.33, 0.17,1,3,2,1,1,1,1
NC_004917,Helicobacter_hepaticus,74.29, 0.17, 0.17,1,4,1,1,0,0,1
NC_002163,Campylobacter_jejuni,75.28, 0.33, 0.17,1,3,2,1,0,0,1
NC_003198,Salmonella_enterica,1.35, 0.00, 1.00,0,0,0,6,0,0,0
NC_003197,Salmonella_enterica,1.35, 0.00, 1.00,0,0,0,6,0,0,0
NC_003047,Sinorhizobium_meliloti,53.98, 0.33, 0.50,0,1,2,3,0,0,1
NC_004603,Vibrio_parahaemolyticus,16.58, 0.33, 0.17,1,3,2,1,0,0,1
NC_002929,Bordetella_pertussis,42.91, 0.17, 0.33,0,3,1,2,0,0,0
NC_003919,Xanthomonas_axonopodis,36.49, 0.50, 0.17,1,2,3,1,0,0,1
NC_004347,Shewanella_oneidensis,21.85, 0.50, 0.17,1,2,3,1,0,0,1
NC_004463,Bradyrhizobium_japonicum,53.02, 0.33, 0.50,2,1,2,3,0,0,1
NC_000907,Haemophilus_influenzae,18.45, 0.00, 1.00,0,0,0,6,0,0,0
NC_002928,Bordetella_parapertussis,43.15, 0.33, 0.50,1,1,2,3,0,0,0
NC_002927,Bordetella_bronchiseptica,42.91, 0.33, 0.50,1,1,2,3,0,0,0
NC_011833,Buchnera_aphidicola,18.27, 0.00, 0.17,1,5,0,1,0,0,1
NC_000913,Escherichia_coli,0.00, 0.00, 1.00,0,0,0,6,0,0,0
NC_003143,Yersinia_pestis,5.52, 0.17, 0.67,0,0,1,4,0,0,1
NC_002663,Pasteurella_multocida,14.82, 0.00, 1.00,0,0,0,6,0,0,0
NC_004578,Pseudomonas_syringae,32.52, 0.00, 1.00,0,0,0,6,0,0,3
NC_002696,Caulobacter_crescentus,53.20, 0.33, 0.50,0,1,2,3,0,0,1
NC_003062,Agrobacterium_tumefaciens,53.64, 0.33, 0.50,1,1,2,3,0,0,0
NC_005090,Wolinella_succinogenes,72.26, 0.17, 0.17,1,4,1,1,0,0,1
NC_012441,Brucella_melitensis,54.65, 0.33, 0.50,0,1,2,3,0,0,0
NC_004741,Shigella_flexneri,0.00, 0.50, 0.33,0,0,3,2,1,1,1
