NC_002678	Mesorhizobium_loti	*lpxA-fabZ-lpxA-bamA*lpxD*lpxB*dnaE*rnhB
NC_002516	Pseudomonas_aeruginosa	*rnhB-lpxBA-fabZ-lpxD*dnaE*bamA
NC_003197	Salmonella_enterica	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_004310	Brucella_suis	*lpxA-fabZ-lpxD-bamA*lpxB*dnaE*rnhB
NC_003112	Neisseria_meningitidis	*lpxA-fabZ-lpxD-hlpA-bamA*lpxB*dnaE*rnhB
NC_002947	Pseudomonas_putida	*lpxD-fabZ-lpxAB-rnhB-dnaE*bamA
NC_005085	Chromobacterium_violaceum	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_003295	Ralstonia_solanacearum	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_012668	Vibrio_cholerae	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_004459	Vibrio_vulnificus	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_004917	Helicobacter_hepaticus	*fabZ-lpxA*lpxD*lpxB*dnaE*bamA*rnhB
NC_002163	Campylobacter_jejuni	*fabZ-lpxA*lpxD*lpxB*dnaE*bamA*rnhB
NC_003198	Salmonella_enterica	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_003047	Sinorhizobium_meliloti	*bamA-lpxD-fabZ-lpxA*lpxB*dnaE*rnhB
NC_004603	Vibrio_parahaemolyticus	*dnaE-rnhB-lpxBA-fabZ-lpxD-hlpA-bamA
NC_002929	Bordetella_pertussis	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_003919	Xanthomonas_axonopodis	*dnaE-rnhB-lpxBA-fabZ-lpxD-bamA
NC_004347	Shewanella_oneidensis	*lpxD-fabZ-lpxAB-rnhB-dnaE*bamA
NC_004463	Bradyrhizobium_japonicum	*fabZ-lpxD-bamA*lpxA*lpxB*dnaE*rnhB
NC_002928	Bordetella_parapertussis	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_002488	Xylella_fastidiosa	*rnhB-lpxBA-fabZ-lpxD-bamA*dnaE
NC_002927	Bordetella_bronchiseptica	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_011833	Buchnera_aphidicola	*bamA-fabZ-dnaE*lpxD
NC_005061	Candidatus_Blochmannia	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_007086	Xanthomonas_campestris	*bamA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_000913	Escherichia_coli	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_004757	Nitrosomonas_europaea	*rnhB-fabZ-hlpA-bamA*lpxD*dnaE
NC_003143	Yersinia_pestis	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
NC_002663	Pasteurella_multocida	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB*dnaE
NC_004578	Pseudomonas_syringae	*lpxD-fabZ-lpxAB-rnhB-dnaE*bamA
NC_002696	Caulobacter_crescentus	*lpxA-fabZ-lpxD*lpxB*dnaE*bamA*rnhB
NC_003062	Agrobacterium_tumefaciens	*bamA-lpxD-fabZ-lpxA*lpxB*dnaE*rnhB
NC_005090	Wolinella_succinogenes	*lpxA-fabZ*lpxD*lpxB*dnaE*bamA*rnhB
NC_012441	Brucella_melitensis	*lpxA-fabZ-lpxD-bamA*lpxB*dnaE*rnhB
NC_000907	Haemophilus_influenzae	*lpxD-hlpA-bamA*rnhB-lpxBA-fabZ*dnaE
NC_004741	Shigella_flexneri	*bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
