NC_002678	Mesorhizobium_loti	srlBEA srlRD  gutQ
NC_003197	Salmonella_enterica	srlAEBD-gutM-srlR-gutQ
NC_002947	Pseudomonas_putida	srlDD gutQ srlR
NC_003198	Salmonella_enterica	srlAEBD-gutM-srlR-gutQ
NC_003047	Sinorhizobium_meliloti	srlDR  gutQ
NC_004463	Bradyrhizobium_japonicum	srlDD  gutQ srlR
NC_002929	Bordetella_pertussis	srlDD gutQ srlR
NC_002927	Bordetella_bronchiseptica	srlDD gutQ srlR
NC_000913	Escherichia_coli	srlAEBD-gutM-srlR-gutQ
NC_002663	Pasteurella_multocida	gutM-srlDBEA gutQ srlR
NC_004578	Pseudomonas_syringae	srlRD gutQ
NC_004741	Shigella_flexneri	srlEBD-gutM-srlR-gutQ
