NC_002678	Mesorhizobium_loti	*sucCD*sdhBAC*sucBA
NC_002516	Pseudomonas_aeruginosa	*sdhCDAB-sucAB*sucCD
NC_003197	Salmonella_enterica	*sdhCDAB*sucABCD
NC_004310	Brucella_suis	*sdhBAC*sucBADC
NC_003112	Neisseria_meningitidis	*sdhCDAB*sucAB*sucCD
NC_002947	Pseudomonas_putida	*sucDC*sucBA-sdhBADC
NC_005085	Chromobacterium_violaceum	*sdhCDAB*sucAB*sucCD
NC_003295	Ralstonia_solanacearum	*sucCD*sucAB*sdhBADC
NC_012668	Vibrio_cholerae	*sdhCDAB-sucABCD
NC_004459	Vibrio_vulnificus	*sucDCBA-sdhBADC
NC_004917	Helicobacter_hepaticus	*sdhAB
NC_002163	Campylobacter_jejuni	*sdhAB*sucCD
NC_003198	Salmonella_enterica	*sdhCDAB*sucABCD
NC_003047	Sinorhizobium_meliloti	*sucBADC*sdhBAC
NC_004603	Vibrio_parahaemolyticus	*sdhCDAB-sucABCD
NC_003919	Xanthomonas_axonopodis	*sucBA*sdhCAB*sucDC
NC_004347	Shewanella_oneidensis	*sdhCDAB-sucABCD
NC_004463	Bradyrhizobium_japonicum	*sucBAD*sdhCAB*sucC
NC_002928	Bordetella_parapertussis	*sucCD*sucBA*sdhBADC
NC_002929	Bordetella_pertussis	*sucAB*sdhBADC*sucDC
NC_002488	Xylella_fastidiosa	*sdhCAB*sucBA*sucCD
NC_002927	Bordetella_bronchiseptica	*sucCD*sucBA*sdhBADC
NC_011833	Buchnera_aphidicola	*sucAB
NC_005061	Candidatus_Blochmannia	*sdhCDAB-sucABCD
NC_007086	Xanthomonas_campestris	*sucCD*sdhCAB*sucAB
NC_000913	Escherichia_coli	*sdhCDAB-sucABCD
NC_004757	Nitrosomonas_europaea	*sucCD*sdhCDA*sucAB*sdhB
NC_003143	Yersinia_pestis	*sdhCDAB-sucABCD
NC_002663	Pasteurella_multocida	*sdhBA*sucAB*sucCD
NC_004578	Pseudomonas_syringae	*sdhCDAB-sucAB*sucCD
NC_002696	Caulobacter_crescentus	*sucCDAB*sdhBAC
NC_003062	Agrobacterium_tumefaciens	*sucBADC*sdhBAC
NC_005090	Wolinella_succinogenes	*sdhBA*sucCD
NC_012441	Brucella_melitensis	*sdhBAC*sucBADC
NC_000907	Haemophilus_influenzae	*sdhBA*sucCD*sucBA
NC_004741	Shigella_flexneri	*sucDD*CBA-sdhBADC
