Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Brucella_melitensis,Brucella_suis,Buchnera_aphidicola,Campylobacter_jejuni,Candidatus_Blochmannia,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Helicobacter_hepaticus,Mesorhizobium_loti,Neisseria_meningitidis,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Wolinella_succinogenes,Xanthomonas_axonopodis,Xanthomonas_campestris,Xylella_fastidiosa,Yersinia_pestis
Agrobacterium_tumefaciens,0,3.5,3.5,2.5,3.0,3.5,3.5,1.0,4.0,1.0,2.5,2.5,1.0,4.0,3.5,4.5,2.5,1.0,1.0,1.0,2.5,1.0,3.5,1.0,4.0,5.0,4.0,3.0,4.0,1.0
Bordetella_bronchiseptica,3.5,0,5.0,4.0,4.5,5.0,5.0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,5.0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,5.0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Bordetella_parapertussis,3.5,5.0,0,4.0,4.5,5.0,5.0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,5.0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,5.0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Bordetella_pertussis,2.5,4.0,4.0,0,3.5,4.0,4.0,1.5,4.5,1.5,3.0,3.0,1.5,4.5,4.0,5.0,3.0,1.5,1.5,1.5,3.0,1.5,4.0,1.5,4.5,5.5,4.5,3.5,4.5,1.5
Bradyrhizobium_japonicum,3.0,4.5,4.5,3.5,0,4.5,4.5,2.0,5.0,2.0,3.5,3.5,2.0,5.0,4.5,5.5,3.5,2.0,2.0,2.0,3.5,2.0,4.5,2.0,5.0,6.0,5.0,4.0,5.0,2.0
Brucella_melitensis,3.5,5.0,5.0,4.0,4.5,0,5.0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,5.0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,5.0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Brucella_suis,3.5,5.0,5.0,4.0,4.5,5.0,0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,5.0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,5.0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Buchnera_aphidicola,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Campylobacter_jejuni,4.0,5.5,5.5,4.5,5.0,5.5,5.5,3.0,0,3.0,4.5,4.5,3.0,6.0,5.5,6.5,4.5,3.0,3.0,3.0,4.5,3.0,5.5,3.0,6.0,7.0,6.0,5.0,6.0,3.0
Candidatus_Blochmannia,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Caulobacter_crescentus,2.5,4.0,4.0,3.0,3.5,4.0,4.0,1.5,4.5,1.5,0,3.0,1.5,4.5,4.0,5.0,3.0,1.5,1.5,1.5,3.0,1.5,4.0,1.5,4.5,5.5,4.5,3.5,4.5,1.5
Chromobacterium_violaceum,2.5,4.0,4.0,3.0,3.5,4.0,4.0,1.5,4.5,1.5,3.0,0,1.5,4.5,4.0,5.0,3.0,1.5,1.5,1.5,3.0,1.5,4.0,1.5,4.5,5.5,4.5,3.5,4.5,1.5
Escherichia_coli,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Helicobacter_hepaticus,4.0,5.5,5.5,4.5,5.0,5.5,5.5,3.0,6.0,3.0,4.5,4.5,3.0,0,5.5,6.5,4.5,3.0,3.0,3.0,4.5,3.0,5.5,3.0,6.0,7.0,6.0,5.0,6.0,3.0
Mesorhizobium_loti,3.5,5.0,5.0,4.0,4.5,5.0,5.0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,5.0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Neisseria_meningitidis,4.5,6.0,6.0,5.0,5.5,6.0,6.0,3.5,6.5,3.5,5.0,5.0,3.5,6.5,6.0,0,5.0,3.5,3.5,3.5,5.0,3.5,6.0,3.5,6.5,7.5,6.5,5.5,6.5,3.5
Nitrosomonas_europaea,2.5,4.0,4.0,3.0,3.5,4.0,4.0,1.5,4.5,1.5,3.0,3.0,1.5,4.5,4.0,5.0,0,1.5,1.5,1.5,3.0,1.5,4.0,1.5,4.5,5.5,4.5,3.5,4.5,1.5
Pseudomonas_aeruginosa,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0,0.0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Pseudomonas_putida,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Pseudomonas_syringae,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Ralstonia_solanacearum,2.5,4.0,4.0,3.0,3.5,4.0,4.0,1.5,4.5,1.5,3.0,3.0,1.5,4.5,4.0,5.0,3.0,1.5,1.5,1.5,0,1.5,4.0,1.5,4.5,5.5,4.5,3.5,4.5,1.5
Salmonella_enterica,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0.0
Shewanella_oneidensis,3.5,5.0,5.0,4.0,4.5,5.0,5.0,2.5,5.5,2.5,4.0,4.0,2.5,5.5,5.0,6.0,4.0,2.5,2.5,2.5,4.0,2.5,0,2.5,5.5,6.5,5.5,4.5,5.5,2.5
Shigella_flexneri,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0.0,2.5,0,3.0,4.0,3.0,2.0,3.0,0.0
Sinorhizobium_meliloti,4.0,5.5,5.5,4.5,5.0,5.5,5.5,3.0,6.0,3.0,4.5,4.5,3.0,6.0,5.5,6.5,4.5,3.0,3.0,3.0,4.5,3.0,5.5,3.0,0,7.0,6.0,5.0,6.0,3.0
Wolinella_succinogenes,5.0,6.5,6.5,5.5,6.0,6.5,6.5,4.0,7.0,4.0,5.5,5.5,4.0,7.0,6.5,7.5,5.5,4.0,4.0,4.0,5.5,4.0,6.5,4.0,7.0,0,7.0,6.0,7.0,4.0
Xanthomonas_axonopodis,4.0,5.5,5.5,4.5,5.0,5.5,5.5,3.0,6.0,3.0,4.5,4.5,3.0,6.0,5.5,6.5,4.5,3.0,3.0,3.0,4.5,3.0,5.5,3.0,6.0,7.0,0,5.0,6.0,3.0
Xanthomonas_campestris,3.0,4.5,4.5,3.5,4.0,4.5,4.5,2.0,5.0,2.0,3.5,3.5,2.0,5.0,4.5,5.5,3.5,2.0,2.0,2.0,3.5,2.0,4.5,2.0,5.0,6.0,5.0,0,5.0,2.0
Xylella_fastidiosa,4.0,5.5,5.5,4.5,5.0,5.5,5.5,3.0,6.0,3.0,4.5,4.5,3.0,6.0,5.5,6.5,4.5,3.0,3.0,3.0,4.5,3.0,5.5,3.0,6.0,7.0,6.0,5.0,0,3.0
Yersinia_pestis,1.0,2.5,2.5,1.5,2.0,2.5,2.5,0.0,3.0,0.0,1.5,1.5,0.0,3.0,2.5,3.5,1.5,0.0,0.0,0.0,1.5,0.0,2.5,0.0,3.0,4.0,3.0,2.0,3.0,0
