NC_002678	Mesorhizobium_loti	*rsmA-pdxA*lptD*apaG*apaH*surA
NC_002516	Pseudomonas_aeruginosa	*apaHG-rsmA-pdxA-surA-lptD
NC_003197	Salmonella_enterica	*apaHG-rsmA-pdxA-surA-lptD
NC_004310	Brucella_suis	*rsmA-pdxA-surA-lptD*apaG
NC_003112	Neisseria_meningitidis	*lptD-surA*pdxA*rsmA*apaH
NC_002947	Pseudomonas_putida	*apaHG-rsmA-pdxA-surA
NC_005085	Chromobacterium_violaceum	*lptD-surA-pdxA*rsmA*apaG*apaH
NC_003295	Ralstonia_solanacearum	*lptD-surA-pdxA-rsmA*apaG*apaH
NC_012668	Vibrio_cholerae	*lptD-surA-pdxA-rsmA-apaGH
NC_004459	Vibrio_vulnificus	*lptD-surA-pdxA-rsmA-apaGH
NC_003198	Salmonella_enterica	*apaHG-rsmA-pdxA-surA-lptD
NC_003047	Sinorhizobium_meliloti	*rsmA-pdxA*lptD*apaG*surA
NC_004603	Vibrio_parahaemolyticus	*apaHG-rsmA-pdxA-surA-lptD
NC_002929	Bordetella_pertussis	*lptD-surA-rsmA*pdxA*apaG*apaH
NC_003919	Xanthomonas_axonopodis	*apaHG-rsmA-pdxA-surA-lptD
NC_004347	Shewanella_oneidensis	*lptD-surA-pdxA-rsmA-apaGH
NC_004463	Bradyrhizobium_japonicum	*rsmA-pdxA-surA-lptD*apaG
NC_002928	Bordetella_parapertussis	*rsmA-surA-lptD*pdxA*apaG*apaH
NC_002488	Xylella_fastidiosa	*lptD-surA-pdxA*rsmA-apaGH
NC_002927	Bordetella_bronchiseptica	*rsmA-surA-lptD*pdxA*apaG*apaH
NC_011833	Buchnera_aphidicola	*surA-rsmA-apaH
NC_005061	Candidatus_Blochmannia	*apaH-rsmA-pdxA-surA-lptD
NC_007086	Xanthomonas_campestris	*lptD-surA-pdxA*rsmA-apaGH
NC_000913	Escherichia_coli	*apaHG-rsmA-pdxA-surA-lptD
NC_004757	Nitrosomonas_europaea	*lptD-surA-pdxA-rsmA*apaG*apaH
NC_003143	Yersinia_pestis	*apaHG-rsmA-pdxA-surA-lptD
NC_002663	Pasteurella_multocida	*surA-rsmA-apaH*lptD*pdxA
NC_004578	Pseudomonas_syringae	*apaHG-rsmA-pdxA-surA-lptD
NC_002696	Caulobacter_crescentus	*rsmA-pdxA-surA-lptD*apaG
NC_003062	Agrobacterium_tumefaciens	*rsmA-pdxA*lptD*apaG
NC_012441	Brucella_melitensis	*rsmA-pdxA-surA-lptD*apaG
NC_004741	Shigella_flexneri	*apaHG-rsmA-pdxA-surA-lptD
