NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements,Inversions
NC_002516,Pseudomonas_aeruginosa,30.34, 0.20, 0.60,0,1,1,3,0,0,1,0
NC_003197,Salmonella_enterica,1.35, 0.20, 0.80,0,0,1,4,0,0,0,0
NC_002947,Pseudomonas_putida,32.41, 0.20, 0.60,0,1,1,3,0,0,1,0
NC_005085,Chromobacterium_violaceum,41.09, 0.40, 0.60,1,0,2,3,0,0,2,1
NC_002163,Campylobacter_jejuni,75.28, 0.20, 0.60,0,1,1,3,0,0,1,0
NC_003198,Salmonella_enterica,1.35, 0.20, 0.80,0,0,1,4,0,0,0,0
NC_003295,Ralstonia_solanacearum,41.09, 0.20, 0.60,0,1,1,3,0,0,0,0
NC_004463,Bradyrhizobium_japonicum,53.02, 0.20, 0.60,0,1,1,3,0,0,0,0
NC_002928,Bordetella_parapertussis,43.15, 0.40, 0.60,0,0,2,3,0,0,0,1
NC_002929,Bordetella_pertussis,42.91, 0.40, 0.40,0,1,2,2,0,0,0,1
NC_002927,Bordetella_bronchiseptica,42.91, 0.40, 0.60,0,0,2,3,0,0,0,1
NC_000913,Escherichia_coli,0.00, 0.00, 1.00,0,0,0,5,0,0,0,0
NC_003143,Yersinia_pestis,5.52, 0.20, 0.40,0,2,1,2,0,0,0,0
NC_004578,Pseudomonas_syringae,32.52, 0.40, 0.60,0,0,2,3,0,0,0,1
NC_000907,Haemophilus_influenzae,18.45, 0.40, 0.60,0,0,2,3,0,0,0,1
NC_004741,Shigella_flexneri,0.00, 0.20, 0.40,0,1,1,2,0,0,0,0
