NC_002678	Mesorhizobium_loti	glcDF glcE glcB
NC_002516	Pseudomonas_aeruginosa	glcGFED glcA glcB
NC_002947	Pseudomonas_putida	glcDEFG glcA glcB
NC_005085	Chromobacterium_violaceum	glcAD glcF
NC_004917	Helicobacter_hepaticus	glcAF  glcD glcE
NC_002163	Campylobacter_jejuni	glcFA glcD glcE
NC_003295	Ralstonia_solanacearum	glcDEF glcG glcA
NC_003047	Sinorhizobium_meliloti	glcDEF glcB
NC_004347	Shewanella_oneidensis	glcFDA glcB
NC_004463	Bradyrhizobium_japonicum	glcFD glcE glcG glcA glcB
NC_002928	Bordetella_parapertussis	glcDDEF glcG glcA glcB
NC_002929	Bordetella_pertussis	glcFEDD glcG glcB
NC_002927	Bordetella_bronchiseptica	glcDDEF glcG glcA glcB
NC_000913	Escherichia_coli	glcABGFED
NC_004757	Nitrosomonas_europaea	glcFED
NC_002663	Pasteurella_multocida	glcAFF glcD
NC_004578	Pseudomonas_syringae	glcDE glcGB
NC_003062	Agrobacterium_tumefaciens	glcDEF glcB
NC_004741	Shigella_flexneri	glcFF glcABG glcD
