NC_002678	Mesorhizobium_loti	nuoNMLJIHG nuoFECCBA
NC_002516	Pseudomonas_aeruginosa	nuoABCEFGHIJKLMN
NC_003197	Salmonella_enterica	nuoNMLKJIHGFECBA
NC_004310	Brucella_suis	nuoABCCEFGHI nuoKLMN
NC_003112	Neisseria_meningitidis	nuoABCCEF nuoGHI nuoLMN nuoK
NC_002947	Pseudomonas_putida	nuoABCEFGHIJKLMN
NC_005085	Chromobacterium_violaceum	nuoABCCEFGHIJKLMN
NC_003295	Ralstonia_solanacearum	nuoNMLKJIHGFECCBA
NC_004917	Helicobacter_hepaticus	nuoNMLKJIHG nuoCCB
NC_002928	Bordetella_parapertussis	nuoNMLK nuoIHGFECCBA
NC_002163	Campylobacter_jejuni	nuoNMLJIHG nuoCCBA
NC_003198	Salmonella_enterica	nuoNMLKJIHGFECBA
NC_003047	Sinorhizobium_meliloti	nuoABCCEF nuoGHI nuoLMN
NC_004347	Shewanella_oneidensis	nuoNMLKJIHGFE nuoCBA
NC_004463	Bradyrhizobium_japonicum	nuoNMLJIHGFE nuoCCBA
NC_002929	Bordetella_pertussis	nuoABCCEFGHIJKLMN
NC_002488	Xylella_fastidiosa	nuoABCCEFGHI nuoLMN
NC_002927	Bordetella_bronchiseptica	nuoNMLK nuoIHGFECCBA
NC_011833	Buchnera_aphidicola	nuoABCEFGHIJKLMN
NC_005061	Candidatus_Blochmannia	nuoNMLKJIHGFECBA
NC_007086	Xanthomonas_campestris	nuoABCCEFGHIJLMN
NC_000913	Escherichia_coli	nuoNMLKJIHGFECBA
NC_004757	Nitrosomonas_europaea	nuoNMLKJIHGFECCBA
NC_003143	Yersinia_pestis	nuoNMLKJIHGFECBA
NC_004578	Pseudomonas_syringae	nuoABCEFGHIJKLMN
NC_002696	Caulobacter_crescentus	nuoNMLK nuoIHGFECCBA
NC_003062	Agrobacterium_tumefaciens	nuoABCCEFGHIJLMN
NC_005090	Wolinella_succinogenes	nuoABCC nuoGG nuoHIJKLMN
NC_012441	Brucella_melitensis	nuoABCCEFGHI nuoKLMN
NC_003919	Xanthomonas_axonopodis	nuoNML nuoIHGFECCBA
NC_004741	Shigella_flexneri	nuoNMLKJIHGFECBA
