NC_002678	Mesorhizobium_loti	*livFGMH*livHFGK
NC_002516	Pseudomonas_aeruginosa	*livFGMHK
NC_004310	Brucella_suis	*livGF*F*livGMH*livK
NC_002947	Pseudomonas_putida	*livFGMHK
NC_005085	Chromobacterium_violaceum	*livHMGF*livK
NC_003295	Ralstonia_solanacearum	*livFGMHK
NC_012668	Vibrio_cholerae	*livGF
NC_004459	Vibrio_vulnificus	*livFG
NC_004917	Helicobacter_hepaticus	*livFG
NC_002163	Campylobacter_jejuni	*livFGMHKK
NC_003198	Salmonella_enterica	*livKHMGF
NC_003197	Salmonella_enterica	*livFGMHK
NC_003047	Sinorhizobium_meliloti	*livKFGMH
NC_004603	Vibrio_parahaemolyticus	*livGF
NC_002929	Bordetella_pertussis	*livFGMHK
NC_004347	Shewanella_oneidensis	*livFG
NC_004463	Bradyrhizobium_japonicum	*livFGMHK
NC_000907	Haemophilus_influenzae	*livFG
NC_002928	Bordetella_parapertussis	*livGHMKF
NC_002927	Bordetella_bronchiseptica	*livKHMGF
NC_011833	Buchnera_aphidicola	*livFF*livG
NC_000913	Escherichia_coli	*livFGMHK
NC_003143	Yersinia_pestis	*livFGMHK
NC_002663	Pasteurella_multocida	*livFG
NC_004578	Pseudomonas_syringae	*livKHMGF
NC_002696	Caulobacter_crescentus	*livGF
NC_003062	Agrobacterium_tumefaciens	*livFGMH*livK
NC_005090	Wolinella_succinogenes	*livFGMHK
NC_012441	Brucella_melitensis	*livFGMH*livK
NC_004741	Shigella_flexneri	*livKHMGF
