NC_002678	Mesorhizobium_loti	*rbsBA*C*rbsKR
NC_002516	Pseudomonas_aeruginosa	*rbsBACRK
NC_004310	Brucella_suis	*rbsACB*rbsK*rbsR
NC_002947	Pseudomonas_putida	*rbsBACRKD
NC_005085	Chromobacterium_violaceum	*rbsRBCADK
NC_003295	Ralstonia_solanacearum	*rbsKRCAB
NC_012668	Vibrio_cholerae	*rbsCA*rbsR*rbsB
NC_004459	Vibrio_vulnificus	*rbsAA*rbsR*rbsB
NC_004917	Helicobacter_hepaticus	*rbsAA*rbsK
NC_002163	Campylobacter_jejuni	*rbsAA*rbsC*rbsK
NC_003198	Salmonella_enterica	*rbsRKBCAD
NC_003197	Salmonella_enterica	*rbsDACBKR
NC_003047	Sinorhizobium_meliloti	*rbsBAC*rbsK*rbsR
NC_004603	Vibrio_parahaemolyticus	*rbsAA*rbsR*rbsB
NC_002929	Bordetella_pertussis	*rbsRA*rbsC
NC_003919	Xanthomonas_axonopodis	*rbsAA*rbsK*rbsB*rbsR
NC_004347	Shewanella_oneidensis	*rbsAA*rbsK*rbsB*rbsR
NC_004463	Bradyrhizobium_japonicum	*rbsACB*rbsKK*rbsRA
NC_000907	Haemophilus_influenzae	*rbsDACBKR
NC_002928	Bordetella_parapertussis	*rbsAR*rbsACB*rbsK
NC_002927	Bordetella_bronchiseptica	*rbsAR*rbsBCA*rbsK
NC_011833	Buchnera_aphidicola	*rbsAA
NC_000913	Escherichia_coli	*rbsDACBKR
NC_003143	Yersinia_pestis	*rbsDK*rbsRC*AB
NC_002663	Pasteurella_multocida	*rbsRKBCAD
NC_004578	Pseudomonas_syringae	*rbsBACRKD
NC_002696	Caulobacter_crescentus	*rbsBAC*rbsK*rbsR
NC_003062	Agrobacterium_tumefaciens	*rbsBCA*rbsAK*rbsR
NC_005090	Wolinella_succinogenes	*rbsAA*rbsK
NC_012441	Brucella_melitensis	*rbsACB*rbsK*rbsR
NC_004741	Shigella_flexneri	*rbsCA*rbsRK*rbsB*rbsD
