NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements,Inversions
NC_002516,Pseudomonas_aeruginosa,30.34, 0.40, 0.40,0,0,2,2,0,0,0,1
NC_003197,Salmonella_enterica,1.35, 0.00, 1.00,0,0,0,5,0,0,0,0
NC_002947,Pseudomonas_putida,32.41, 0.20, 0.40,0,2,1,2,0,0,0,1
NC_012668,Vibrio_cholerae,32.41, 0.20, 0.40,0,2,1,2,0,0,0,1
NC_004459,Vibrio_vulnificus,16.31, 0.20, 0.40,0,2,1,2,0,0,0,0
NC_003198,Salmonella_enterica,1.35, 0.00, 0.80,0,1,0,4,0,0,0,0
NC_003295,Ralstonia_solanacearum,41.09, 0.20, 0.40,0,2,1,2,0,0,0,1
NC_004603,Vibrio_parahaemolyticus,16.58, 0.00, 0.60,0,2,0,3,0,0,0,0
NC_002929,Bordetella_pertussis,42.91, 0.20, 0.40,0,2,1,2,0,0,0,1
NC_003919,Xanthomonas_axonopodis,36.49, 0.40, 0.40,0,1,2,2,0,0,0,1
NC_004347,Shewanella_oneidensis,21.85, 0.40, 0.40,0,1,2,2,0,0,0,1
NC_002928,Bordetella_parapertussis,43.15, 0.20, 0.40,0,2,1,2,0,0,0,0
NC_002927,Bordetella_bronchiseptica,42.91, 0.20, 0.40,0,2,1,2,0,0,0,1
NC_007086,Xanthomonas_campestris,36.60, 0.60, 0.40,0,0,3,2,0,0,0,1
NC_000913,Escherichia_coli,0.00, 0.00, 1.00,0,0,0,5,0,0,0,0
NC_004757,Nitrosomonas_europaea,40.71, 0.20, 0.40,0,2,1,2,0,0,0,0
NC_003143,Yersinia_pestis,5.52, 0.00, 0.60,0,2,0,3,0,0,0,0
NC_002663,Pasteurella_multocida,14.82, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_004578,Pseudomonas_syringae,32.52, 0.40, 0.40,0,0,2,2,0,0,0,1
NC_002696,Caulobacter_crescentus,53.20, 0.60, 0.40,0,0,3,2,0,0,0,2
NC_000907,Haemophilus_influenzae,18.45, 0.00, 0.40,0,3,0,2,0,0,0,0
NC_004741,Shigella_flexneri,0.00, 0.00, 0.60,0,2,0,3,0,0,0,0
