NC_002678	Mesorhizobium_loti	*tam-lsrA*lsrDCAB*lsrF
NC_002516	Pseudomonas_aeruginosa	*lsrAC*tam*lsrG
NC_004310	Brucella_suis	*lsrAD*tam-lsrA*lsrCA*lsrB
NC_002947	Pseudomonas_putida	*lsrAC*tam*lsrD*lsrG
NC_005085	Chromobacterium_violaceum	*lsrCA*tam*lsrD
NC_003295	Ralstonia_solanacearum	*lsrCA*tam*lsrD
NC_012668	Vibrio_cholerae	*lsrDA*tam*lsrC
NC_004459	Vibrio_vulnificus	*lsrAA
NC_004917	Helicobacter_hepaticus	*lsrAA
NC_002163	Campylobacter_jejuni	*lsrAA*tam
NC_003198	Salmonella_enterica	*lsrGFBDCA*tam
NC_003197	Salmonella_enterica	*lsrACDBFG*tam
NC_003047	Sinorhizobium_meliloti	*lsrBACD*tam-lsrA
NC_004603	Vibrio_parahaemolyticus	*lsrAA*tam*lsrG
NC_002929	Bordetella_pertussis	*lsrAA*tam
NC_003919	Xanthomonas_axonopodis	*lsrAA*tam
NC_004347	Shewanella_oneidensis	*lsrAA*lsrB
NC_004463	Bradyrhizobium_japonicum	*lsrACB*lsrAD*tam
NC_000907	Haemophilus_influenzae	*lsrAC*lsrAD*tam
NC_002928	Bordetella_parapertussis	*lsrAD*tam*lsrC
NC_002927	Bordetella_bronchiseptica	*lsrDA*lsrCAA*tam
NC_011833	Buchnera_aphidicola	*lsrAA
NC_000913	Escherichia_coli	*lsrACDBFG-tam
NC_003143	Yersinia_pestis	*lsrGFBDCA*tam
NC_002663	Pasteurella_multocida	*lsrACDBFG
NC_004578	Pseudomonas_syringae	*lsrAC*tam*lsrD*lsrG
NC_002696	Caulobacter_crescentus	*lsrAC*tam*lsrD
NC_003062	Agrobacterium_tumefaciens	*lsrDA*lsrBCA*tam
NC_005090	Wolinella_succinogenes	*lsrAA
NC_012441	Brucella_melitensis	*tam-lsrA*lsrCA*lsrB*lsrD
NC_004741	Shigella_flexneri	*tam-lsrGF*lsrACD
