NC_002678	Mesorhizobium_loti	*mdtDA*mdtCA*baeSR-mdtBA
NC_002516	Pseudomonas_aeruginosa	*baeRS*mdtCBA*mdtD
NC_003197	Salmonella_enterica	*mdtABCD-baeSR
NC_004310	Brucella_suis	*baeS-mdtA*C*mdtAB*baeRS*mdtDA
NC_003112	Neisseria_meningitidis	*baeSR*mdtCA*mdtB*mdtD
NC_002947	Pseudomonas_putida	*mdtCA*baeSR-mdtA*B*mdtDA
NC_005085	Chromobacterium_violaceum	*baeRS*mdtDA*mdtABC
NC_012668	Vibrio_cholerae	*mdtAB*baeRS*mdtCA*mdtD
NC_004459	Vibrio_vulnificus	*baeSR*mdtBA*mdtC
NC_004917	Helicobacter_hepaticus	*mdtBA*baeSR*mdtC*mdtD
NC_002163	Campylobacter_jejuni	*mdtCA*baeSR*mdtB
NC_003198	Salmonella_enterica	*mdtABCD-baeSR
NC_003295	Ralstonia_solanacearum	*mdtBA*baeSR*mdtDA*mdtC
NC_003047	Sinorhizobium_meliloti	*baeSR*mdtBA*mdtCA*mdtD
NC_004603	Vibrio_parahaemolyticus	*mdtBA*baeRS*mdtAAC*mdtD
NC_003919	Xanthomonas_axonopodis	*baeSR-mdtD*mdtABC
NC_004347	Shewanella_oneidensis	*baeRS*mdtAC*mdtBD*
NC_004463	Bradyrhizobium_japonicum	*baeSR*mdtDA*mdtABC
NC_002928	Bordetella_parapertussis	*baeSR*mdtCBA*mdtD
NC_002929	Bordetella_pertussis	*baeRS**mdtAD*mdtCBA
NC_002488	Xylella_fastidiosa	*baeRS*mdtABC*mdtD
NC_002927	Bordetella_bronchiseptica	*baeSR*mdtDA*mdtCBA
NC_007086	Xanthomonas_campestris	*baeSSR-mdtD**mdtABC
NC_000913	Escherichia_coli	*mdtABCD-baeSR
NC_004757	Nitrosomonas_europaea	*baeSR-mdtC*mdtAB*mdtD
NC_003143	Yersinia_pestis	*baeSR*mdtABCD
NC_002663	Pasteurella_multocida	*baeRS*mdtC*mdtB*mdtA*mdtD
NC_004578	Pseudomonas_syringae	*baeSR-mdtBA*mdtCA*mdtD
NC_002696	Caulobacter_crescentus	*baeRS*mdtCA*mdtAB*mdtD
NC_003062	Agrobacterium_tumefaciens	*baeSR*mdtCA*mdtAB*mdtD
NC_005090	Wolinella_succinogenes	*baeRS*mdtAC*mdtAB*mdtD
NC_012441	Brucella_melitensis	*baeS-mdtA*C*mdtAB*baeRS*mdtDA
NC_000907	Haemophilus_influenzae	*mdtAB*mdtDA*baeSR*mdtC
NC_004741	Shigella_flexneri	*mdtBA*mdtCD-baeSR
