NC_Number,Common,Distance,Splitting,Migration,Duplicates,Deletions,Splits,Longest_Group,Total_Fusions,Group_Fusions,Total_Rearrangements,Inversions
NC_002678,Mesorhizobium_loti,53.98, 0.25, 0.38,0,3,2,3,0,0,0,0
NC_002516,Pseudomonas_aeruginosa,30.34, 0.38, 0.38,0,2,3,3,0,0,0,2
NC_003197,Salmonella_enterica,1.35, 0.12, 0.50,1,1,1,4,0,0,1,0
NC_002947,Pseudomonas_putida,32.41, 0.38, 0.38,0,2,3,3,0,0,0,1
NC_003295,Ralstonia_solanacearum,41.09, 0.25, 0.38,0,3,2,3,0,0,0,0
NC_003198,Salmonella_enterica,1.35, 0.12, 0.38,0,2,1,3,0,0,0,0
NC_004463,Bradyrhizobium_japonicum,53.02, 0.12, 0.38,0,4,1,3,0,0,0,1
NC_002928,Bordetella_parapertussis,43.15, 0.25, 0.25,0,4,2,2,0,0,0,1
NC_002927,Bordetella_bronchiseptica,42.91, 0.38, 0.25,0,3,3,2,0,0,0,1
NC_000913,Escherichia_coli,0.00, 0.00, 0.88,0,1,0,7,0,0,0,0
NC_004741,Shigella_flexneri,0.00, 0.12, 0.25,0,4,1,2,0,0,0,1
