NC_002678	Mesorhizobium_loti	trpDC trpCBA trpE
NC_002516	Pseudomonas_aeruginosa	trpAB trpDDC trpED
NC_003197	Salmonella_enterica	trpEDCBA
NC_004310	Brucella_suis	trpDC trpABC trpE
NC_003112	Neisseria_meningitidis	trpDD trpB trpC trpA trpE
NC_002947	Pseudomonas_putida	trpAB trpDDC trpE
NC_005085	Chromobacterium_violaceum	trpDD trpABC trpE
NC_003295	Ralstonia_solanacearum	trpBC trpEDDC trpA
NC_012668	Vibrio_cholerae	trpEDDCBA
NC_004459	Vibrio_vulnificus	trpEDDCBA
NC_004917	Helicobacter_hepaticus	trpDE trpAB
NC_002928	Bordetella_parapertussis	trpAB trpEDDC
NC_002163	Campylobacter_jejuni	trpEDCBA
NC_003198	Salmonella_enterica	trpABCDE
NC_003047	Sinorhizobium_meliloti	trpCBA trpDC trpE
NC_004603	Vibrio_parahaemolyticus	trpEDDCBA
NC_003919	Xanthomonas_axonopodis	trpDC trpAB trpE
NC_004347	Shewanella_oneidensis	trpEDDCBA
NC_004463	Bradyrhizobium_japonicum	trpCBA trpDE
NC_002929	Bordetella_pertussis	trpCDDE trpBA
NC_002488	Xylella_fastidiosa	trpEDDC trpBA
NC_002927	Bordetella_bronchiseptica	trpAB trpEDDC
NC_011833	Buchnera_aphidicola	trpCD trpA
NC_005061	Candidatus_Blochmannia	trpEDDCBA
NC_007086	Xanthomonas_campestris	trpDC trpB trpA trpE
NC_000913	Escherichia_coli	trpABCDE
NC_004757	Nitrosomonas_europaea	trpCDD trpCBA trpE
NC_003143	Yersinia_pestis	trpABCDDE
NC_002663	Pasteurella_multocida	trpAB trpCD trpDE
NC_004578	Pseudomonas_syringae	trpBA trpDDC trpE
NC_002696	Caulobacter_crescentus	trpEDDC trpABC
NC_003062	Agrobacterium_tumefaciens	trpCBA trpDC trpE
NC_012441	Brucella_melitensis	trpDC trpABC trpE
NC_000907	Haemophilus_influenzae	trpEDDC trpBA
NC_004741	Shigella_flexneri	trpABCDE
