NC_002678	Mesorhizobium_loti	*caiCAD*caiE*caiB
NC_002516	Pseudomonas_aeruginosa	*caiCC*caiDBA*caiE*caiT
NC_003197	Salmonella_enterica	*caiEDCBAT
NC_004310	Brucella_suis	*caiAC*caiDA*caiBA*caiE
NC_003112	Neisseria_meningitidis	*caiCT**caiE
NC_002947	Pseudomonas_putida	*caiCA*caiAD*caiEB*caiT
NC_005085	Chromobacterium_violaceum	*caiDA*caiCC*caiBA*caiE*caiT
NC_004917	Helicobacter_hepaticus	*caiCC*caiA
NC_003198	Salmonella_enterica	*caiEDCBAT
NC_003295	Ralstonia_solanacearum	*caiAA*caiDD**caiE*caiC*caiB
NC_003047	Sinorhizobium_meliloti	*caiAD*caiE*caiC
NC_003919	Xanthomonas_axonopodis	*caiAD*caiCC*caiE*caiT
NC_004347	Shewanella_oneidensis	*caiAD*caiE*caiC
NC_004463	Bradyrhizobium_japonicum	*caiCD*caiAB*caiE
NC_002928	Bordetella_parapertussis	*caiBB**caiAD*caiCE*caiT
NC_002929	Bordetella_pertussis	*caiBD*caiCA*caiCE*caiT
NC_002927	Bordetella_bronchiseptica	*caiBB**caiAD*caiCE*caiT
NC_007086	Xanthomonas_campestris	*caiDA*caiE*caiT*caiC
NC_000913	Escherichia_coli	*caiEDCBAT
NC_004757	Nitrosomonas_europaea	*caiAC*caiE
NC_004578	Pseudomonas_syringae	*caiCC*caiDA*caiBA*caiE*caiT
NC_002696	Caulobacter_crescentus	*caiAA*caiCD*caiE*caiB
NC_003062	Agrobacterium_tumefaciens	*caiAD*caiE*caiC*caiB
NC_012441	Brucella_melitensis	*caiDA*caiBA*caiE*caiC
NC_004741	Shigella_flexneri	*caiEDCBAT
